Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-06,11.24,11.35,11.23,11.3,57530,EQ,24.0,2397.08,3531.0
2026-08-07,11.35,11.36,11.25,11.25,2818,EQ,35.0,80.51,2815.0
2026-08-10,11.3,11.31,11.24,11.28,3215,EQ,45.0,71.44,3161.0
2026-08-11,11.59,11.7,11.27,11.39,3088,EQ,43.0,71.81,2996.0
2026-08-12,11.67,11.7,11.21,11.28,23743,EQ,75.0,316.57,19685.0
2026-08-13,11.33,11.33,11.2,11.23,32230,EQ,41.0,786.1,32130.0
2026-08-14,11.38,11.38,11.19,11.21,1675,EQ,28.0,59.82,1475.0
2026-08-17,11.43,11.43,11.17,11.27,3590,EQ,36.0,99.72,3590.0
2026-08-18,11.38,11.38,11.22,11.28,4144,EQ,48.0,86.33,2131.0
2026-08-19,11.3,11.3,11.1,11.12,5515,EQ,47.0,117.34,5055.0
2026-08-20,11.34,11.34,11.11,11.21,2525,EQ,29.0,87.07,2441.0
2026-08-21,11.48,11.48,11.12,11.12,7663,EQ,37.0,207.11,5779.0
2026-08-24,11.25,11.3,11.15,11.21,6375,EQ,65.0,98.08,6327.0
2026-08-25,11.47,11.47,11.15,11.22,20026,EQ,45.0,445.02,19036.0
2026-08-26,11.46,11.46,11.17,11.18,10402,EQ,41.0,253.71,6766.0
2026-08-27,10.9,11.4,10.9,11.1,4450,EQ,44.0,101.14,3772.0
2026-08-28,11.32,11.32,11.05,11.11,3738,EQ,34.0,109.94,3683.0
2026-08-31,11.33,11.33,11.0,11.12,4430,EQ,51.0,86.86,4401.0
2026-09-01,11.35,11.35,11.07,11.2,37588,EQ,31.0,1212.52,30260.0
2026-09-02,11.4,11.4,11.08,11.18,3250,EQ,24.0,135.42,3241.0
2026-09-03,11.25,11.25,11.14,11.21,2492,EQ,32.0,77.88,2425.0
2026-09-04,11.21,11.29,11.19,11.29,6633,EQ,36.0,184.25,6543.0
2026-09-07,11.52,11.52,11.12,11.12,8883,EQ,60.0,148.05,8883.0
2026-09-08,11.11,11.13,11.02,11.05,5658,EQ,44.0,128.59,4289.0
2026-09-09,11.25,11.25,11.01,11.08,8445,EQ,38.0,222.24,3680.0
2026-09-10,11.3,11.3,11.01,11.04,15409,EQ,44.0,350.2,14354.0
2026-09-11,11.27,11.4,10.92,11.34,11555,EQ,53.0,218.02,2736.0
2026-09-15,11.62,11.62,10.8,10.87,35075,EQ,161.0,217.86,32393.0
2026-09-16,11.1,11.2,10.79,10.86,5392,EQ,48,112.33,2713
2026-09-17,11.07,11.07,10.85,10.9,5229,EQ,45,116.2,4178
2026-09-18,11.0,11.04,10.9,10.98,3726,EQ,37,100.7,3649
