Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,28.6,28.6,28.6,28.6,53,EQ,4.0,13.25,53.0
2026-08-19,28.6,28.99,28.6,28.6,185,EQ,6.0,30.83,185.0
2026-08-20,34.3,34.32,23.26,34.32,8795,EQ,135.0,65.15,4818.0
2026-08-21,39.99,41.18,39.2,41.18,14902,EQ,114.0,130.72,12535.0
2026-08-24,45.2,45.29,38.12,41.59,47605,EQ,471.0,101.07,22753.0
2026-08-25,41.3,41.3,37.44,37.44,11252,EQ,150.0,75.01,7635.0
2026-08-26,34.9,41.18,34.9,35.62,4590,EQ,67.0,68.51,3155.0
2026-08-27,35.62,35.8,34.15,34.15,1724,BE,24.0,71.83,1724.0
2026-08-28,34.98,34.99,32.45,32.45,2655,BE,23.0,115.43,2655.0
2026-08-31,31.15,31.15,31.0,31.0,2174,BE,22.0,98.82,2174.0
2026-09-01,30.4,30.4,29.45,30.15,3262,BE,13.0,250.92,3262.0
2026-09-02,29.55,31.65,28.65,31.65,1792,BE,21.0,85.33,1792.0
2026-09-03,33.22,33.23,33.07,33.23,2759,BE,19.0,145.21,2759.0
2026-09-04,34.89,34.89,33.0,33.98,957,BE,18.0,53.17,957.0
2026-09-07,32.35,34.75,32.35,33.69,2082,BE,18.0,115.67,2082.0
2026-09-08,32.11,33.39,32.11,32.2,400,BE,7.0,57.14,400.0
2026-09-09,33.3,33.79,30.59,30.59,233,BE,11.0,21.18,233.0
2026-09-10,32.0,32.11,31.0,32.11,434,BE,7.0,62.0,434.0
2026-09-11,30.51,32.11,30.51,32.11,763,BE,11.0,69.36,763.0
2026-09-15,31.95,31.95,30.51,31.75,808,BE,5.0,161.6,808.0
2026-09-17,31.6,31.6,30.17,30.18,845,BE,10,84.5,845
2026-09-18,28.69,30.0,28.69,30.0,349,BE,3,116.33,349
