Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,138.5,139.3,138.5,139.0,51,EQ,3.0,17.0,50.0
2026-08-18,152.0,152.0,135.0,145.0,471,EQ,29.0,16.24,261.0
2026-08-19,144.0,147.0,143.39,144.9,341,EQ,19.0,17.95,317.0
2026-08-20,144.0,144.0,144.0,144.0,1,EQ,1.0,1.0,1.0
2026-08-21,144.0,144.0,141.0,141.0,51,EQ,3.0,17.0,51.0
2026-08-24,141.0,160.0,136.77,153.07,564,EQ,23.0,24.52,490.0
2026-08-25,151.99,151.99,149.2,149.2,6,EQ,2.0,3.0,6.0
2026-08-26,145.0,147.0,141.0,146.91,531,EQ,22.0,24.14,496.0
2026-08-27,146.18,147.0,146.18,147.0,47,EQ,9.0,5.22,47.0
2026-08-28,147.0,147.0,147.0,147.0,10,EQ,1.0,10.0,10.0
2026-08-31,147.73,147.73,135.1,135.1,248,EQ,24.0,10.33,245.0
2026-09-01,135.25,138.0,135.25,138.0,21,EQ,3.0,7.0,21.0
2026-09-02,138.0,140.0,136.62,137.53,272,EQ,13.0,20.92,264.0
2026-09-03,143.0,143.0,137.53,137.53,10,EQ,3.0,3.33,10.0
2026-09-04,145.0,149.0,137.53,142.22,1952,EQ,51.0,38.27,1662.0
2026-09-07,142.22,144.0,140.1,144.0,468,EQ,16.0,29.25,392.0
2026-09-08,149.0,150.0,140.0,140.1,616,EQ,19.0,32.42,605.0
2026-09-09,134.5,149.0,134.5,148.0,307,EQ,23.0,13.35,306.0
2026-09-10,150.96,154.9,147.98,149.0,1412,EQ,29.0,48.69,1345.0
2026-09-11,149.0,149.0,140.0,141.56,236,EQ,12.0,19.67,166.0
2026-09-15,138.5,140.0,134.0,140.0,405,EQ,22.0,18.41,388.0
2026-09-16,139.9,139.9,120.0,136.0,1487,EQ,40,37.17,1151
2026-09-17,136.0,136.3,136.0,136.22,530,EQ,7,75.71,530
2026-09-18,137.1,145.0,136.22,141.43,649,EQ,49,13.24,626
