Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-06,520.0,624.0,520.0,624.0,17538016,EQ,290235.0,60.43,4363672.0
2026-08-07,665.5,686.5,593.05,611.7,13751593,EQ,299785.0,45.87,2056579.0
2026-08-10,600.0,644.8,595.5,614.8,5245199,EQ,136011.0,38.56,817941.0
2026-08-11,622.4,628.75,595.0,599.45,1408063,EQ,27450.0,51.3,360413.0
2026-08-12,600.9,607.7,571.2,582.85,1534434,EQ,33771.0,45.44,381265.0
2026-08-13,585.15,628.0,585.15,615.1,2823065,EQ,64699.0,43.63,402685.0
2026-08-14,618.8,632.0,585.0,588.65,980894,EQ,22636.0,43.33,285074.0
2026-08-17,588.0,595.0,566.5,570.1,678775,EQ,15169.0,44.75,229943.0
2026-08-18,574.0,583.85,556.15,574.1,777088,EQ,18331.0,42.39,215328.0
2026-08-19,577.75,583.55,560.15,570.2,620974,EQ,17091.0,36.33,164450.0
2026-08-20,570.95,578.8,564.4,568.3,471669,EQ,9963.0,47.34,125296.0
2026-08-21,569.9,594.1,567.5,591.15,903580,EQ,23487.0,38.47,233126.0
2026-08-24,592.95,601.9,574.25,578.95,650831,EQ,19905.0,32.7,201816.0
2026-08-25,579.0,582.7,559.0,564.15,367077,EQ,10103.0,36.33,136928.0
2026-08-26,525.0,566.45,516.55,560.15,1171438,EQ,33056.0,35.44,234271.0
2026-08-27,565.5,672.15,559.95,646.8,14689330,EQ,237934.0,61.74,1488172.0
2026-08-28,649.9,768.0,638.5,719.55,28262303,EQ,493343.0,57.29,1460375.0
2026-08-31,718.95,780.0,693.05,760.45,10367613,EQ,211963.0,48.91,636254.0
2026-09-01,757.65,757.7,696.3,713.7,3239338,EQ,69896.0,46.35,437118.0
2026-09-02,708.95,724.5,675.4,686.05,1444414,EQ,30245.0,47.76,279653.0
2026-09-03,685.0,744.8,661.65,730.65,8739539,EQ,160034.0,54.61,761327.0
2026-09-04,730.65,752.4,710.0,729.7,3173336,EQ,58930.0,53.85,365879.0
2026-09-07,729.7,841.1,725.0,806.45,20414269,EQ,424060.0,48.14,992893.0
2026-09-08,820.0,917.8,815.2,883.25,18775267,EQ,375829.0,49.96,1083300.0
2026-09-09,887.85,948.0,880.0,917.5,16480312,EQ,327976.0,50.25,1131374.0
2026-09-10,911.45,911.45,826.1,835.45,5082721,EQ,109946.0,46.23,608891.0
2026-09-11,843.0,874.25,817.5,841.7,4580933,EQ,107775.0,42.5,423457.0
2026-09-15,856.0,856.0,757.55,777.0,1768387,EQ,43017.0,41.11,217569.0
2026-09-16,777.1,845.7,736.0,819.05,4327351,EQ,127052,34.06,353781
2026-09-17,822.3,828.2,785.0,796.0,1164354,EQ,35898,32.44,168942
2026-09-18,795.0,842.0,776.0,832.75,2320560,EQ,66573,34.86,248547
