Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,111.0,127.52,111.0,114.93,86196,EQ,1685.0,51.15,39603.0
2026-08-19,116.0,137.91,116.0,137.91,68040,EQ,1027.0,66.25,29039.0
2026-08-20,160.0,165.49,155.3,165.49,383979,EQ,4421.0,86.85,80997.0
2026-08-21,174.0,182.03,161.21,166.11,358902,EQ,9250.0,38.8,100742.0
2026-08-24,165.0,165.0,150.6,153.53,49408,EQ,1543.0,32.02,18909.0
2026-08-25,153.0,153.0,145.86,145.86,7301,BE,97.0,75.27,7301.0
2026-08-26,139.01,140.65,138.57,138.57,3321,BE,93.0,35.71,3321.0
2026-08-27,131.65,131.65,131.65,131.65,2605,BE,59.0,44.15,2605.0
2026-08-28,125.07,125.07,125.07,125.07,4981,BE,72.0,69.18,4981.0
2026-08-31,118.82,118.82,118.82,118.82,3840,BE,74.0,51.89,3840.0
2026-09-01,112.88,124.76,112.88,124.76,20017,BE,253.0,79.12,20017.0
2026-09-02,122.75,123.99,120.0,120.05,15331,BE,206.0,74.42,15331.0
2026-09-03,120.0,126.05,118.1,124.89,10283,BE,139.0,73.98,10283.0
2026-09-04,125.51,127.95,122.0,127.12,5905,BE,73.0,80.89,5905.0
2026-09-07,130.0,133.47,128.85,133.42,5771,BE,134.0,43.07,5771.0
2026-09-08,135.0,140.09,135.0,140.09,5237,BE,98.0,53.44,5237.0
2026-09-09,146.75,147.09,140.09,147.09,7751,BE,125.0,62.01,7751.0
2026-09-10,154.44,154.44,147.09,148.52,9286,BE,118.0,78.69,9286.0
2026-09-11,147.78,147.78,141.1,141.1,3988,BE,62.0,64.32,3988.0
2026-09-15,135.01,146.45,134.05,134.05,3374,BE,71.0,47.52,3374.0
2026-09-16,131.0,132.98,127.35,127.54,3476,BE,64,54.31,3476
2026-09-17,121.25,128.48,121.17,128.02,5593,BE,68,82.25,5593
2026-09-18,129.39,131.79,124.1,129.99,2567,BE,52,49.37,2567
