Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,77.0,77.0,72.0,75.25,268,EQ,28.0,9.57,209.0
2026-08-19,76.21,79.54,75.42,76.52,1280,EQ,185.0,6.92,1217.0
2026-08-20,78.0,82.0,72.08,79.85,1850,EQ,52.0,35.58,1712.0
2026-08-21,80.9,80.9,77.21,79.99,2179,EQ,34.0,64.09,2172.0
2026-08-24,79.99,84.9,78.01,81.17,3251,EQ,80.0,40.64,2979.0
2026-08-25,81.5,88.0,81.0,85.35,5507,EQ,99.0,55.63,5000.0
2026-08-26,87.06,92.0,86.3,89.43,7078,EQ,282.0,25.1,5347.0
2026-08-27,82.5,95.25,82.5,90.23,4054,EQ,157.0,25.82,2939.0
2026-08-28,98.99,98.99,85.0,87.04,6005,EQ,109.0,55.09,5596.0
2026-08-31,87.47,87.47,80.0,85.51,1663,EQ,99.0,16.8,1155.0
2026-09-01,85.09,85.09,82.06,82.06,479,EQ,13.0,36.85,479.0
2026-09-02,81.5,82.0,75.25,79.04,394310,EQ,181.0,2178.51,390438.0
2026-09-03,79.04,79.04,78.0,78.2,452,EQ,14.0,32.29,452.0
2026-09-04,77.51,83.99,77.43,79.55,2885,EQ,71.0,40.63,2406.0
2026-09-07,79.16,82.99,76.46,79.27,2359,EQ,67.0,35.21,2066.0
2026-09-08,81.25,83.0,80.11,80.33,1268,EQ,38.0,33.37,1180.0
2026-09-09,79.0,81.0,78.33,80.27,1769,EQ,26.0,68.04,1669.0
2026-09-10,80.5,81.5,79.0,80.02,662,EQ,8.0,82.75,662.0
2026-09-11,80.5,83.0,79.5,83.0,306,EQ,7.0,43.71,300.0
2026-09-15,83.0,83.0,79.05,80.51,1411,EQ,39.0,36.18,1328.0
2026-09-16,77.1,80.51,77.1,80.11,1639,EQ,21,78.05,1636
2026-09-17,77.05,82.0,77.05,82.0,567,EQ,10,56.7,564
2026-09-18,82.99,82.99,78.0,80.45,5480,EQ,39,140.51,5466
