Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-28,37.86,38.0,37.75,37.85,2226,EQ,24.0,92.75,1757.0
2026-08-31,37.71,38.3,37.6,37.71,3875,EQ,26.0,149.04,3874.0
2026-09-01,37.7,37.78,37.43,37.68,30318,EQ,13.0,2332.15,26910.0
2026-09-02,37.68,37.68,37.17,37.31,9484,EQ,13.0,729.54,9220.0
2026-09-03,38.06,38.3,37.45,37.45,1986,EQ,19.0,104.53,1983.0
2026-09-04,38.3,38.3,37.39,37.54,990,EQ,18.0,55.0,937.0
2026-09-07,38.29,38.3,37.21,37.24,2978,EQ,21.0,141.81,2967.0
2026-09-08,37.42,38.02,37.27,37.27,663,EQ,11.0,60.27,662.0
2026-09-09,37.13,37.16,37.06,37.08,912,EQ,18.0,50.67,912.0
2026-09-10,36.33,37.06,36.33,36.94,881,EQ,21.0,41.95,875.0
2026-09-11,36.6,36.78,36.42,36.78,1712,EQ,10.0,171.2,1342.0
2026-09-15,38.0,38.0,36.24,36.31,1428,EQ,21.0,68.0,1426.0
2026-09-16,36.26,36.38,35.83,35.99,31278,EQ,28,1117.07,31141
2026-09-17,36.48,36.48,36.35,36.48,3339,EQ,9,371.0,3336
2026-09-18,36.66,36.7,36.51,36.66,29211,EQ,16,1825.69,29076
