Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-16,nan,nan,nan,3313.43,192706730.0,107.86,,,,
2026-06-18,nan,nan,nan,3418.25,176250917.0,111.27,,,,
2026-06-19,nan,nan,nan,3451.93,355692070.0,112.34,,,,
2026-06-22,nan,nan,nan,3470.53,266382537.0,112.94,,,,
2026-06-23,nan,nan,nan,3447.25,249907929.0,112.18,,,,
2026-06-24,nan,nan,nan,3455.12,209491179.0,112.44,,,,
2026-06-25,nan,nan,nan,3422.04,155410206.0,111.36,,,,
2026-06-29,nan,nan,nan,3430.1,179537591.0,111.63,,,,
2026-06-30,nan,nan,nan,3464.63,165878454.0,119.17,,,,
2026-07-01,nan,nan,nan,3518.91,215443389.0,121.04,,,,
2026-07-02,nan,nan,nan,3536.7,192212883.0,121.65,,,,
2026-07-03,nan,nan,nan,3530.26,131434075.0,121.43,,,,
2026-07-06,nan,nan,nan,3550.54,123852212.0,122.13,,,,
2026-07-07,nan,nan,nan,3546.44,247170930.0,121.99,,,,
2026-07-08,nan,nan,nan,3504.59,293035029.0,120.55,,,,
2026-07-09,nan,nan,nan,3553.82,214861182.0,122.24,,,,
2026-07-10,nan,nan,nan,3565.96,146916873.0,122.66,,,,
