Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-16,nan,nan,nan,9190.52,236589175.0,22.51,,,,
2026-06-18,nan,nan,nan,9336.09,246431048.0,22.86,,,,
2026-06-19,nan,nan,nan,9356.15,211038265.0,22.91,,,,
2026-06-22,nan,nan,nan,9455.94,302301050.0,23.16,,,,
2026-06-23,nan,nan,nan,9349.12,203095662.0,22.89,,,,
2026-06-24,nan,nan,nan,9297.28,187928121.0,22.77,,,,
2026-06-25,nan,nan,nan,9214.5,164683650.0,22.56,,,,
2026-06-29,nan,nan,nan,9219.22,356515907.0,22.58,,,,
2026-06-30,nan,nan,nan,9202.49,194824687.0,21.46,,,,
2026-07-01,nan,nan,nan,9232.63,561717995.0,21.53,,,,
2026-07-02,nan,nan,nan,9251.45,200654541.0,21.58,,,,
2026-07-03,nan,nan,nan,9200.58,170601144.0,21.46,,,,
2026-07-06,nan,nan,nan,9183.1,168501086.0,21.42,,,,
2026-07-07,nan,nan,nan,9140.01,161361061.0,21.32,,,,
2026-07-08,nan,nan,nan,9034.64,215152643.0,21.07,,,,
2026-07-09,nan,nan,nan,9008.04,155344083.0,21.01,,,,
2026-07-10,nan,nan,nan,9123.1,138310823.0,21.28,,,,
