Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-30,nan,nan,nan,1429.62,7342863.0,64.79,,,,
2026-07-31,nan,nan,nan,1426.08,8078354.0,64.6,,,,
2026-08-03,nan,nan,nan,1429.76,8824093.0,64.77,,,,
2026-08-04,nan,nan,nan,1427.91,8753458.0,64.68,,,,
2026-08-05,nan,nan,nan,1425.13,8984343.0,64.56,,,,
2026-08-06,nan,nan,nan,1429.5,7936748.0,64.76,,,,
2026-08-07,nan,nan,nan,1433.76,6706098.0,64.95,,,,
2026-08-10,nan,nan,nan,1433.72,10613031.0,64.93,,,,
2026-08-11,nan,nan,nan,1432.32,5367975.0,64.87,,,,
2026-08-12,nan,nan,nan,1431.02,9944996.0,64.81,,,,
2026-08-13,nan,nan,nan,1441.5,5969152.0,65.27,,,,
2026-08-14,nan,nan,nan,1443.08,8288468.0,65.34,,,,
2026-08-17,nan,nan,nan,1432.22,67162596.0,64.79,,,,
2026-08-18,nan,nan,nan,1429.12,7047195.0,64.65,,,,
2026-08-19,nan,nan,nan,1428.04,6205161.0,64.6,,,,
2026-08-20,nan,nan,nan,1428.1,7991213.0,64.61,,,,
2026-08-21,nan,nan,nan,1425.12,6347582.0,64.47,,,,
2026-08-24,nan,nan,nan,1429.69,5696347.0,64.68,,,,
2026-08-25,nan,nan,nan,1426.17,6244212.0,64.52,,,,
2026-08-26,nan,nan,nan,1419.9,6993250.0,64.24,,,,
2026-08-27,nan,nan,nan,1416.98,4933937.0,64.1,,,,
2026-08-28,nan,nan,nan,1419.91,4887648.0,64.24,,,,
2026-08-31,nan,nan,nan,1418.71,19589060.0,64.18,,,,
2026-09-01,nan,nan,nan,1417.45,22332504.0,64.12,,,,
2026-09-02,nan,nan,nan,1415.72,10110567.0,64.05,,,,
2026-09-03,nan,nan,nan,1426.09,67823692.0,64.52,,,,
2026-09-04,nan,nan,nan,1422.39,11579469.0,64.35,,,,
2026-09-07,nan,nan,nan,1423.95,13526624.0,64.42,,,,
2026-09-08,nan,nan,nan,1426.14,11017589.0,64.52,,,,
2026-09-09,nan,nan,nan,1424.16,5612081.0,64.43,,,,
2026-09-10,nan,nan,nan,1418.27,6500231.0,64.16,,,,
2026-09-11,nan,nan,nan,1415.9,5424205.0,64.05,,,,
2026-09-15,nan,nan,nan,1419.35,6058673.0,64.21,,,,
2026-09-16,nan,nan,nan,1421.87,6107643.0,64.32,,,,
2026-09-17,nan,nan,nan,1421.08,3720239.0,64.29,,,,
2026-09-18,nan,nan,nan,1425.84,16846421.0,64.5,,,,
