Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-04,nan,nan,nan,1747.03,30565695.0,55.07,,,,
2026-03-05,nan,nan,nan,1765.42,23342367.0,55.65,,,,
2026-03-06,nan,nan,nan,1758.57,17334845.0,55.43,,,,
2026-03-09,nan,nan,nan,1740.72,18149280.0,54.87,,,,
2026-03-10,nan,nan,nan,1750.59,16778382.0,55.18,,,,
2026-03-11,nan,nan,nan,1739.44,13487510.0,54.83,,,,
2026-03-12,nan,nan,nan,1724.75,13548469.0,54.37,,,,
2026-03-13,nan,nan,nan,1714.1,16582458.0,54.03,,,,
2026-03-16,nan,nan,nan,1699.08,21461593.0,53.56,,,,
2026-03-17,nan,nan,nan,1712.55,16555660.0,53.98,,,,
2026-03-18,nan,nan,nan,1731.25,22748157.0,54.57,,,,
2026-03-19,nan,nan,nan,1696.92,14750286.0,53.49,,,,
2026-03-20,nan,nan,nan,1690.47,48070544.0,53.28,,,,
