Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-28,nan,nan,nan,17456.75,1202558038.0,26.68,,,,
2026-01-29,nan,nan,nan,17507.74,1198317018.0,26.64,,,,
2026-01-30,nan,nan,nan,17708.39,1337067926.0,26.88,,,,
2026-02-01,nan,nan,nan,17363.56,1033290376.0,26.16,,,,
2026-02-02,nan,nan,nan,17439.49,900372641.0,26.26,,,,
2026-02-03,nan,nan,nan,17985.11,1248099050.0,27.08,,,,
2026-02-04,nan,nan,nan,18144.95,1329765348.0,26.61,,,,
2026-02-05,nan,nan,nan,17960.1,1026786853.0,26.28,,,,
2026-02-06,nan,nan,nan,17877.19,761315792.0,26.12,,,,
2026-02-09,nan,nan,nan,18329.65,1291837271.0,26.75,,,,
2026-02-10,nan,nan,nan,18449.66,1102197441.0,27.0,,,,
2026-02-11,nan,nan,nan,18442.4,950187350.0,26.94,,,,
2026-02-12,nan,nan,nan,18319.66,841914684.0,26.7,,,,
2026-02-13,nan,nan,nan,18033.27,1018249491.0,26.28,,,,
2026-02-16,nan,nan,nan,17989.87,1136878324.0,26.21,,,,
2026-02-17,nan,nan,nan,18135.54,1576449177.0,26.44,,,,
2026-02-18,nan,nan,nan,18213.87,1616232650.0,26.58,,,,
2026-02-19,nan,nan,nan,17987.56,919095104.0,26.25,,,,
2026-02-20,nan,nan,nan,17956.35,842991053.0,26.21,,,,
