Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-28,nan,nan,nan,34525.41,143488165.0,42.8,,,,
2026-08-31,nan,nan,nan,34588.96,162862421.0,42.88,,,,
2026-09-01,nan,nan,nan,34174.28,83106620.0,42.36,,,,
2026-09-02,nan,nan,nan,34077.43,93620966.0,42.24,,,,
2026-09-03,nan,nan,nan,34292.73,149204605.0,42.51,,,,
2026-09-04,nan,nan,nan,34252.03,89628862.0,42.46,,,,
2026-09-07,nan,nan,nan,34196.12,87934817.0,42.39,,,,
2026-09-08,nan,nan,nan,34331.19,82740244.0,42.56,,,,
2026-09-09,nan,nan,nan,34205.34,79459731.0,42.4,,,,
2026-09-10,nan,nan,nan,34131.95,126911555.0,42.31,,,,
2026-09-11,nan,nan,nan,34037.2,108444760.0,42.19,,,,
2026-09-15,nan,nan,nan,33025.0,104254693.0,40.94,,,,
2026-09-16,nan,nan,nan,33029.08,90903452.0,40.94,,,,
2026-09-17,nan,nan,nan,33310.03,81419254.0,41.29,,,,
2026-09-18,nan,nan,nan,33853.23,131028256.0,41.96,,,,
