Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-20,12.35,12.96,12.35,12.5,306540,EQ,469.0,653.6,252726.0
2026-08-21,12.95,12.95,12.41,12.46,137621,EQ,602.0,228.61,124153.0
2026-08-24,12.52,12.52,12.39,12.4,153013,EQ,663.0,230.79,139752.0
2026-08-25,12.65,12.65,12.35,12.42,131697,EQ,551.0,239.01,100074.0
2026-08-26,12.73,12.73,9.94,12.46,176050,EQ,701.0,251.14,160322.0
2026-08-27,12.77,12.77,12.38,12.38,100108,EQ,1027.0,97.48,84128.0
2026-08-28,12.68,12.68,12.36,12.39,164738,EQ,503.0,327.51,90286.0
2026-08-31,12.67,12.67,12.05,12.23,146129,EQ,993.0,147.16,97458.0
2026-09-01,12.36,12.54,12.26,12.32,119459,EQ,700.0,170.66,87978.0
2026-09-02,12.62,12.62,12.18,12.29,165102,EQ,838.0,197.02,135656.0
2026-09-03,12.59,12.59,12.22,12.29,335371,EQ,620.0,540.92,268645.0
2026-09-04,12.29,12.57,12.23,12.29,56629,EQ,626.0,90.46,41859.0
2026-09-07,12.59,13.05,12.03,12.31,221203,EQ,937.0,236.08,138226.0
2026-09-08,12.61,12.61,12.12,12.14,158149,EQ,755.0,209.47,153557.0
2026-09-09,12.44,12.44,12.03,12.05,179458,EQ,846.0,212.13,132811.0
2026-09-10,11.74,12.11,11.74,12.0,68602,EQ,589.0,116.47,56324.0
2026-09-11,12.3,12.61,11.89,12.14,137929,EQ,732.0,188.43,83950.0
2026-09-15,11.83,12.44,11.83,11.92,178450,EQ,1263.0,141.29,155162.0
2026-09-16,12.21,12.21,11.85,12.07,164395,EQ,634,259.3,102328
2026-09-17,12.37,12.37,11.85,11.94,86852,EQ,656,132.4,68277
2026-09-18,12.23,12.23,11.94,11.98,100363,EQ,617,162.66,63971
