Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,155.0,155.0,144.0,144.45,3086,EQ,20.0,154.3,3081.0
2026-08-18,146.0,146.0,140.0,142.17,241,EQ,28.0,8.61,239.0
2026-08-19,146.0,146.0,133.57,140.11,444,EQ,55.0,8.07,325.0
2026-08-20,140.0,145.0,136.02,139.66,2443,EQ,110.0,22.21,2026.0
2026-08-21,145.0,145.0,136.0,140.0,665,EQ,52.0,12.79,647.0
2026-08-24,147.0,147.0,137.0,139.85,3149,EQ,53.0,59.42,2922.0
2026-08-25,144.8,145.0,132.65,136.89,2502,EQ,152.0,16.46,1767.0
2026-08-26,142.75,142.75,133.0,135.91,3060,EQ,123.0,24.88,2904.0
2026-08-27,134.9,139.69,133.0,136.42,541,EQ,36.0,15.03,513.0
2026-08-28,136.42,138.9,132.5,133.47,1527,EQ,73.0,20.92,1432.0
2026-08-31,133.47,138.49,130.0,134.8,1684,EQ,52.0,32.38,1332.0
2026-09-01,139.9,142.0,126.3,133.21,9091,EQ,196.0,46.38,7593.0
2026-09-02,131.0,137.0,130.0,134.95,2148,EQ,69.0,31.13,1981.0
2026-09-03,134.7,134.7,131.88,132.95,907,EQ,45.0,20.16,798.0
2026-09-04,139.0,139.0,130.26,133.16,7739,EQ,169.0,45.79,7549.0
2026-09-07,133.82,137.79,131.15,134.57,3390,EQ,36.0,94.17,3380.0
2026-09-08,139.0,139.0,133.32,136.8,3656,EQ,176.0,20.77,3591.0
2026-09-09,139.0,139.0,130.6,132.41,3559,EQ,94.0,37.86,3209.0
2026-09-10,137.0,137.0,131.0,131.7,559,EQ,34.0,16.44,481.0
2026-09-11,136.7,136.7,130.01,134.91,596,EQ,45.0,13.24,444.0
2026-09-15,139.45,139.45,130.15,134.11,2427,EQ,96.0,25.28,1450.0
2026-09-16,138.8,138.8,130.4,136.7,1147,EQ,114,10.06,902
2026-09-17,133.5,137.95,130.0,132.03,1311,EQ,64,20.48,1177
2026-09-18,132.03,136.0,132.03,132.85,747,EQ,36,20.75,506
