Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,6.93,7.99,5.71,7.15,5996,EQ,38.0,157.79,5798.0
2026-08-18,7.49,7.49,6.36,6.78,12996,EQ,91.0,142.81,12786.0
2026-08-19,6.92,7.58,6.54,7.03,79268,EQ,576.0,137.62,52422.0
2026-08-20,7.75,7.85,7.1,7.23,47368,EQ,125.0,378.94,43313.0
2026-08-21,7.2,7.7,7.1,7.49,37827,EQ,77.0,491.26,10638.0
2026-08-24,7.49,8.1,6.6,7.29,40320,EQ,80.0,504.0,24607.0
2026-08-25,8.0,8.0,6.8,7.1,14662,EQ,112.0,130.91,13609.0
2026-08-26,7.11,7.8,6.93,7.11,63848,EQ,117.0,545.71,54536.0
2026-08-27,7.59,7.59,7.06,7.1,52084,EQ,106.0,491.36,45720.0
2026-08-28,7.59,8.48,6.98,7.98,105386,EQ,230.0,458.2,95217.0
2026-08-31,7.67,7.79,7.32,7.38,93697,EQ,155.0,604.5,82666.0
2026-09-01,7.53,7.53,7.11,7.12,8625,EQ,68.0,126.84,8064.0
2026-09-02,7.48,8.0,7.14,7.42,46452,EQ,97.0,478.89,37850.0
2026-09-03,7.48,7.67,6.25,6.93,186245,EQ,731.0,254.78,141030.0
2026-09-04,6.93,8.31,6.81,7.46,311228,EQ,678.0,459.04,132447.0
2026-09-07,7.89,7.89,7.06,7.26,144311,EQ,348.0,414.69,106859.0
2026-09-08,7.1,7.45,7.1,7.27,3697,EQ,61.0,60.61,3665.0
2026-09-09,6.66,7.45,6.66,7.17,51147,EQ,102.0,501.44,44886.0
2026-09-10,7.29,7.49,6.95,7.03,40410,EQ,100.0,404.1,34879.0
2026-09-11,7.4,7.4,6.11,7.18,121012,EQ,200.0,605.06,75561.0
2026-09-15,7.39,7.39,6.8,6.88,17867,EQ,156.0,114.53,14855.0
2026-09-16,7.13,7.14,6.82,7.11,12042,EQ,59,204.1,10423
2026-09-17,7.25,7.25,6.56,6.86,37929,EQ,167,227.12,35094
2026-09-18,7.18,7.18,6.25,7.07,41164,EQ,106,388.34,23355
