Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,576.0,576.0,565.3,565.3,2001,EQ,81.0,24.7,1981.0
2026-08-18,537.05,543.0,537.05,537.05,17961,EQ,624.0,28.78,12726.0
2026-08-19,533.0,563.9,533.0,560.65,20875,EQ,877.0,23.8,15242.0
2026-08-20,575.0,575.0,544.05,564.1,18280,EQ,881.0,20.75,10637.0
2026-08-21,570.0,580.0,535.9,555.1,15288,EQ,858.0,17.82,10158.0
2026-08-24,557.6,566.95,545.0,553.95,13499,EQ,644.0,20.96,9214.0
2026-08-25,562.9,562.95,545.0,546.2,9369,EQ,508.0,18.44,7335.0
2026-08-26,545.85,565.0,545.85,556.5,6603,EQ,323.0,20.44,4380.0
2026-08-27,565.0,565.0,540.0,541.4,8373,EQ,518.0,16.16,6282.0
2026-08-28,564.95,564.95,546.0,546.7,4526,EQ,334.0,13.55,2849.0
2026-08-31,550.0,561.75,520.0,532.55,9861,EQ,456.0,21.62,5843.0
2026-09-01,554.35,554.35,505.95,514.15,20299,EQ,945.0,21.48,13172.0
2026-09-02,510.55,520.0,501.0,502.05,19205,EQ,1015.0,18.92,12177.0
2026-09-03,494.0,527.15,494.0,527.15,132633,EQ,642.0,206.59,128662.0
2026-09-04,547.8,552.95,530.35,542.4,16907,EQ,1044.0,16.19,9069.0
2026-09-07,535.1,544.95,515.3,522.0,14827,EQ,870.0,17.04,9936.0
2026-09-08,522.0,537.65,513.05,531.2,23535,EQ,722.0,32.6,17508.0
2026-09-09,550.0,550.0,525.05,540.4,11378,EQ,977.0,11.65,6617.0
2026-09-10,546.0,549.0,527.05,546.0,15825,EQ,805.0,19.66,8754.0
2026-09-11,545.0,545.0,535.0,540.45,10095,EQ,452.0,22.33,6936.0
2026-09-15,555.3,560.2,513.45,518.5,19227,EQ,1166.0,16.49,10276.0
2026-09-16,519.1,531.2,495.0,524.75,8604,EQ,696,12.36,4831
2026-09-17,522.15,541.15,520.0,530.45,5391,EQ,441,12.22,3476
2026-09-18,550.45,550.45,525.05,538.75,3309,EQ,302,10.96,2217
