Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,393.95,393.95,375.4,375.4,10000,EQ,29.0,344.83,10000.0
2026-08-18,357.0,357.0,356.65,356.65,1217,EQ,47.0,25.89,1217.0
2026-08-19,338.85,338.85,338.85,338.85,5926,EQ,56.0,105.82,5926.0
2026-08-20,321.95,321.95,321.95,321.95,12425,EQ,93.0,133.6,12425.0
2026-08-21,305.9,305.9,305.9,305.9,11633,EQ,91.0,127.84,11633.0
2026-08-24,290.65,290.65,290.65,290.65,13015,EQ,83.0,156.81,13015.0
2026-08-25,276.15,290.65,276.15,276.25,856148,EQ,651.0,1315.13,839876.0
2026-08-26,262.45,290.05,262.45,288.65,1314397,EQ,10281.0,127.85,623824.0
2026-08-27,296.7,303.05,284.75,301.0,350922,EQ,3734.0,93.98,219873.0
2026-08-28,308.8,316.05,305.35,316.05,354364,EQ,2453.0,144.46,226824.0
2026-08-31,331.85,331.85,325.0,331.8,592882,EQ,2072.0,286.14,398447.0
2026-09-01,331.85,348.35,331.85,348.35,214098,EQ,2245.0,95.37,148724.0
2026-09-02,360.0,365.75,358.05,365.75,252187,EQ,2073.0,121.65,172264.0
2026-09-03,374.9,384.0,373.0,384.0,404235,EQ,1288.0,313.85,262613.0
2026-09-04,402.0,403.2,399.95,403.2,265016,EQ,830.0,319.3,215405.0
2026-09-07,418.45,423.35,383.05,423.2,900835,EQ,8940.0,100.76,395911.0
2026-09-08,434.0,444.35,425.0,444.3,435163,EQ,5060.0,86.0,226014.0
2026-09-09,446.0,462.8,446.0,455.3,462195,EQ,9308.0,49.66,249999.0
2026-09-10,462.0,464.2,432.55,459.4,690257,EQ,7216.0,95.66,292782.0
2026-09-11,458.9,459.0,436.45,438.65,428009,EQ,6445.0,66.41,215147.0
2026-09-15,416.75,436.0,416.75,416.75,279187,EQ,942.0,296.38,201807.0
2026-09-16,395.95,406.25,395.95,395.95,361158,EQ,837,431.49,259103
2026-09-17,376.2,376.2,376.2,376.2,7550,EQ,83,90.96,7550
2026-09-18,357.4,357.4,357.4,357.4,6099,EQ,80,76.24,6099
