Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,11.98,12.25,11.25,11.45,16464,EQ,56.0,294.0,12773.0
2026-08-18,11.41,13.74,11.41,11.76,5730,EQ,98.0,58.47,5356.0
2026-08-19,12.0,12.19,11.51,11.91,32550,EQ,140.0,232.5,26245.0
2026-08-20,11.91,12.31,11.56,12.06,39428,EQ,129.0,305.64,34443.0
2026-08-21,11.81,12.98,11.71,12.4,48318,EQ,143.0,337.89,40799.0
2026-08-24,12.4,12.4,11.72,12.04,5771,EQ,68.0,84.87,5672.0
2026-08-25,11.82,14.44,11.82,13.89,506855,EQ,1123.0,451.34,335042.0
2026-08-26,13.93,14.78,13.22,13.82,150282,EQ,878.0,171.16,75881.0
2026-08-27,13.94,13.94,12.9,13.09,50770,EQ,156.0,325.45,41993.0
2026-08-28,13.0,13.65,12.9,13.03,13755,EQ,101.0,136.19,11782.0
2026-08-31,13.29,13.36,13.02,13.27,6033,EQ,46.0,131.15,5509.0
2026-09-01,13.67,13.67,12.8,13.2,10095,EQ,44.0,229.43,9482.0
2026-09-02,12.56,13.5,12.56,13.16,24221,EQ,101.0,239.81,17289.0
2026-09-03,13.47,15.79,12.85,14.98,353825,EQ,522.0,677.83,283956.0
2026-09-04,14.98,15.87,14.25,14.84,167616,EQ,491.0,341.38,121285.0
2026-09-07,14.15,15.79,13.5,14.43,64263,EQ,250.0,257.05,48073.0
2026-09-08,14.43,15.15,14.36,14.52,56239,EQ,124.0,453.54,51780.0
2026-09-09,14.23,15.0,13.55,14.2,18983,EQ,75.0,253.11,14562.0
2026-09-10,14.49,16.0,14.3,14.57,44190,EQ,116.0,380.95,34896.0
2026-09-11,15.22,15.22,14.2,14.5,31031,EQ,72.0,430.99,25998.0
2026-09-15,14.05,15.0,13.56,13.85,28858,EQ,104.0,277.48,20283.0
2026-09-16,13.85,14.44,12.53,13.29,45848,EQ,105,436.65,31608
2026-09-17,13.02,15.9,12.8,15.13,65480,EQ,475,137.85,58391
2026-09-18,14.99,14.99,13.8,14.01,61040,EQ,255,239.37,55043
