Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-08-11,60.4,63.4,57.4,63.4,2781600,ST,1834.0,1516.68,2766000.0
2023-08-14,60.25,60.25,60.25,60.25,78000,ST,59.0,1322.03,78000.0
2023-08-16,57.25,57.25,57.25,57.25,22800,ST,18.0,1266.67,22800.0
2023-08-17,54.4,54.4,54.4,54.4,73200,ST,47.0,1557.45,73200.0
2023-08-18,56.4,57.1,56.0,57.1,753600,ST,406.0,1856.16,709200.0
2023-08-21,59.95,59.95,59.2,59.95,296400,ST,162.0,1829.63,248400.0
2023-08-22,62.4,62.95,60.4,62.95,198000,ST,137.0,1445.26,172800.0
2023-08-23,66.05,66.05,66.05,66.05,45600,ST,22.0,2072.73,45600.0
2023-08-24,69.35,69.35,69.35,69.35,16800,ST,14.0,1200.0,16800.0
2023-08-25,72.85,72.85,69.35,72.85,640800,ST,355.0,1805.07,538800.0
2023-08-28,74.8,81.6,70.2,78.25,580800,SM,412.0,1409.71,284400.0
2023-08-29,79.8,81.5,72.1,73.3,284400,SM,197.0,1443.65,158400.0
2023-08-30,74.3,76.4,73.0,75.0,106800,SM,87.0,1227.59,84000.0
2023-08-31,76.0,77.0,68.2,71.45,343200,SM,257.0,1335.41,164400.0
2023-09-01,72.0,74.0,70.9,73.5,103200,SM,67.0,1540.3,63600.0
2023-09-04,72.6,76.95,72.6,76.35,126000,SM,99.0,1272.73,88800.0
2023-09-05,76.55,76.6,72.8,74.2,130800,SM,93.0,1406.45,91200.0
2023-09-06,72.25,74.2,70.6,70.9,81600,SM,66.0,1236.36,57600.0
2023-09-07,70.4,70.9,65.3,66.6,290400,SM,207.0,1402.9,180000.0
2023-09-08,67.0,69.95,67.0,68.05,104400,SM,80.0,1305.0,76800.0
2023-09-11,68.2,77.4,68.2,76.15,675600,SM,454.0,1488.11,369600.0
2023-09-12,76.4,78.2,70.45,72.8,205200,SM,163.0,1258.9,126000.0
2023-09-13,73.0,75.4,71.6,73.95,93600,SM,69.0,1356.52,63600.0
2023-09-14,75.2,75.2,72.85,73.25,37200,SM,31.0,1200.0,24000.0
2023-09-15,73.8,73.8,70.2,71.4,132000,SM,83.0,1590.36,110400.0
2023-09-18,71.8,71.8,67.8,68.85,54000,SM,45.0,1200.0,34800.0
2023-09-20,68.3,69.2,67.15,67.4,66000,SM,49.0,1346.94,50400.0
2023-09-21,67.8,69.0,67.3,67.6,38400,SM,29.0,1324.14,24000.0
2023-09-22,67.8,69.35,65.5,66.2,43200,SM,36.0,1200.0,27600.0
2023-09-25,66.4,67.4,63.6,64.6,50400,SM,41.0,1229.27,37200.0
2023-09-26,64.4,65.4,56.2,62.15,148800,SM,120.0,1240.0,88800.0
2023-09-27,62.15,66.0,62.15,65.55,30000,SM,25.0,1200.0,18000.0
2023-09-28,64.8,66.2,64.0,64.8,37200,SM,28.0,1328.57,24000.0
2023-09-29,66.2,68.15,66.2,68.0,21600,SM,17.0,1270.59,18000.0
2023-10-03,66.2,67.55,65.4,67.55,12000,SM,10.0,1200.0,9600.0
2023-10-04,66.6,66.6,65.0,65.5,31200,SM,26.0,1200.0,26400.0
2023-10-05,66.0,66.0,63.6,63.75,60000,SM,49.0,1224.49,43200.0
2023-10-06,64.2,64.2,60.0,62.45,110400,SM,81.0,1362.96,64800.0
2023-10-09,62.45,62.8,59.6,60.75,97200,SM,70.0,1388.57,69600.0
2023-10-10,60.4,62.35,58.0,61.6,138000,SM,105.0,1314.29,76800.0
2023-10-11,61.7,63.85,61.7,63.3,56400,SM,46.0,1226.09,31200.0
2023-10-12,63.0,67.9,62.45,67.05,106800,SM,89.0,1200.0,57600.0
2023-10-13,68.2,68.8,64.8,65.15,42000,SM,31.0,1354.84,25200.0
2023-10-16,64.3,66.3,64.3,64.9,26400,SM,22.0,1200.0,20400.0
2023-10-17,66.4,68.9,64.9,65.35,70800,SM,55.0,1287.27,43200.0
2023-10-18,65.4,66.1,63.45,63.8,25200,SM,20.0,1260.0,22800.0
2023-10-19,63.0,65.0,63.0,64.0,7200,SM,6.0,1200.0,4800.0
2023-10-20,65.0,66.0,63.8,64.65,20400,SM,17.0,1200.0,19200.0
2023-10-23,68.0,68.0,63.0,63.35,80400,SM,64.0,1256.25,46800.0
2023-10-25,65.2,65.2,63.05,63.5,31200,SM,25.0,1248.0,18000.0
