Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,108.25,112.0,106.7,109.4,7988,EQ,114.0,70.07,7416.0
2026-08-18,110.2,110.5,105.0,107.73,19425,EQ,348.0,55.82,15789.0
2026-08-19,107.75,109.8,104.0,105.09,54954,EQ,503.0,109.25,47689.0
2026-08-20,104.95,106.79,102.8,103.63,51219,EQ,773.0,66.26,37461.0
2026-08-21,106.89,124.35,104.25,114.78,1142227,EQ,7763.0,147.14,462411.0
2026-08-24,118.0,122.5,113.5,119.91,377427,EQ,4801.0,78.61,203337.0
2026-08-25,121.01,136.8,119.66,131.81,1932218,EQ,16914.0,114.24,485099.0
2026-08-26,134.75,142.0,127.5,132.99,644347,EQ,8297.0,77.66,213617.0
2026-08-27,131.61,133.85,125.7,126.56,128112,EQ,2479.0,51.68,68188.0
2026-08-28,124.5,133.38,124.5,131.7,113427,EQ,1883.0,60.24,60155.0
2026-08-31,132.0,136.0,127.0,127.81,107168,EQ,1485.0,72.17,58999.0
2026-09-01,129.25,130.0,122.1,124.79,97252,EQ,1504.0,64.66,35114.0
2026-09-02,124.0,127.95,123.42,125.37,75670,EQ,1121.0,67.5,33068.0
2026-09-03,126.4,127.7,123.0,125.72,66688,EQ,891.0,74.85,32423.0
2026-09-04,125.3,134.94,125.3,130.76,263412,EQ,1978.0,133.17,130946.0
2026-09-07,132.0,134.7,126.6,127.28,158500,EQ,1896.0,83.6,89014.0
2026-09-08,127.28,130.99,126.7,128.38,67864,EQ,1212.0,55.99,24853.0
2026-09-09,127.75,129.29,125.94,126.65,59102,EQ,1110.0,53.25,30294.0
2026-09-10,126.65,127.73,120.4,122.3,86819,EQ,1434.0,60.54,46208.0
2026-09-11,123.8,125.0,116.86,124.11,164548,EQ,2587.0,63.61,67083.0
2026-09-15,124.11,124.99,117.01,119.03,99410,EQ,1834.0,54.2,53679.0
2026-09-16,120.2,121.9,115.1,119.85,131322,EQ,1849,71.02,71670
2026-09-17,119.8,121.35,117.13,117.94,43602,EQ,1050,41.53,18836
2026-09-18,119.23,120.41,116.3,117.09,33351,EQ,988,33.76,17157
