Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,146.0,146.0,111.15,139.77,112,EQ,11.0,10.18,105.0
2026-08-18,141.16,141.16,138.99,138.99,34,EQ,12.0,2.83,23.0
2026-08-19,141.16,141.16,129.0,133.55,94,EQ,17.0,5.53,72.0
2026-08-20,133.55,159.0,133.55,150.98,8374,EQ,223.0,37.55,5636.0
2026-08-21,160.0,160.0,140.0,148.71,3962,EQ,113.0,35.06,2323.0
2026-08-24,148.71,149.0,141.0,141.0,1390,EQ,27.0,51.48,1147.0
2026-08-25,140.0,140.0,133.5,134.45,269,EQ,29.0,9.28,169.0
2026-08-26,133.1,152.0,133.1,146.67,1330,EQ,65.0,20.46,1001.0
2026-08-27,149.6,149.6,135.3,137.63,651,EQ,31.0,21.0,382.0
2026-08-28,134.89,145.0,133.0,136.0,747,EQ,29.0,25.76,630.0
2026-08-31,137.0,144.9,137.0,141.94,611,EQ,25.0,24.44,511.0
2026-09-01,140.5,141.94,136.01,136.02,381,EQ,15.0,25.4,373.0
2026-09-02,141.0,141.0,137.0,137.05,293,EQ,17.0,17.24,292.0
2026-09-03,137.05,145.01,137.05,145.0,503,EQ,39.0,12.9,491.0
2026-09-04,140.05,149.0,137.15,143.82,288,EQ,31.0,9.29,253.0
2026-09-07,143.11,144.0,140.0,140.0,391,EQ,17.0,23.0,369.0
2026-09-08,140.0,140.0,140.0,140.0,4,EQ,2.0,2.0,4.0
2026-09-09,141.0,142.0,134.0,141.79,313,EQ,24.0,13.04,311.0
2026-09-10,141.79,145.0,137.0,137.82,106,EQ,12.0,8.83,104.0
2026-09-11,144.8,145.0,140.0,140.0,421,EQ,19.0,22.16,417.0
2026-09-15,140.7,150.0,136.0,136.0,66,EQ,10.0,6.6,63.0
2026-09-16,136.1,136.1,136.0,136.1,1179,EQ,22,53.59,1179
2026-09-17,148.5,148.5,148.5,148.5,1,EQ,1,1.0,1
2026-09-18,147.99,147.99,147.99,147.99,1,EQ,1,1.0,1
