Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,315.0,315.0,315.0,315.0,7,EQ,1.0,7.0,7.0
2026-08-18,331.0,331.0,275.0,286.85,81,EQ,18.0,4.5,41.0
2026-08-19,285.0,294.5,285.0,294.45,1829,EQ,21.0,87.1,1628.0
2026-08-20,286.0,299.0,286.0,299.0,93,EQ,7.0,13.29,91.0
2026-08-21,299.0,309.7,299.0,300.0,575,EQ,19.0,30.26,560.0
2026-08-24,318.8,318.8,289.95,289.95,660,EQ,24.0,27.5,420.0
2026-08-28,320.0,320.0,290.0,304.15,297,EQ,38.0,7.82,133.0
2026-08-31,305.65,305.65,302.0,302.0,8,EQ,3.0,2.67,8.0
2026-09-01,283.0,302.5,283.0,292.1,250,EQ,24.0,10.42,135.0
2026-09-02,292.0,300.0,292.0,300.0,290,EQ,22.0,13.18,246.0
2026-09-07,300.0,300.0,272.95,296.85,27,EQ,9.0,3.0,26.0
2026-09-08,299.45,318.0,253.95,290.0,394,EQ,44.0,8.95,352.0
2026-09-09,290.0,290.0,290.0,290.0,62,EQ,6.0,10.33,62.0
2026-09-11,280.0,300.0,280.0,280.0,4,EQ,4.0,1.0,3.0
2026-09-15,309.8,309.8,266.45,293.4,698,EQ,55.0,12.69,557.0
2026-09-16,304.85,304.85,267.0,295.0,180,EQ,19,9.47,151
2026-09-18,295.0,301.0,295.0,296.4,38,EQ,10,3.8,38
