Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,49.0,51.0,42.2,47.16,126785,EQ,537.0,236.1,95477.0
2026-08-18,47.85,48.03,45.86,46.41,591390,EQ,886.0,667.48,538259.0
2026-08-19,47.0,47.0,44.1,45.95,250800,EQ,786.0,319.08,216234.0
2026-08-20,45.88,47.5,44.98,45.95,163879,EQ,635.0,258.08,65169.0
2026-08-21,47.5,47.5,45.34,45.93,173528,EQ,379.0,457.86,94030.0
2026-08-24,45.55,47.3,44.0,44.99,350193,EQ,942.0,371.75,226384.0
2026-08-25,45.5,47.8,44.0,47.12,257516,EQ,1055.0,244.09,123678.0
2026-08-26,47.12,49.23,46.4,48.65,473412,EQ,1219.0,388.36,250505.0
2026-08-27,48.65,49.29,47.5,48.26,255386,EQ,791.0,322.86,169109.0
2026-08-28,48.5,48.62,45.51,46.47,262808,EQ,1123.0,234.02,196283.0
2026-08-31,46.77,47.45,40.49,42.38,294670,EQ,906.0,325.24,155620.0
2026-09-01,41.9,43.86,41.5,42.57,194529,EQ,1229.0,158.28,67625.0
2026-09-02,42.63,43.79,40.0,41.59,131992,EQ,898.0,146.98,85802.0
2026-09-03,41.11,47.5,41.1,45.83,1367199,EQ,5246.0,260.62,230212.0
2026-09-04,46.0,48.0,44.6,47.41,473879,EQ,1614.0,293.61,185321.0
2026-09-07,47.81,49.4,47.69,48.87,357826,EQ,1468.0,243.75,166371.0
2026-09-08,49.41,50.04,46.26,48.38,288476,EQ,967.0,298.32,137011.0
2026-09-09,48.2,49.32,45.5,47.56,198297,EQ,2002.0,99.05,59617.0
2026-09-10,48.0,56.2,48.0,52.92,1538580,EQ,12835.0,119.87,518225.0
2026-09-11,52.89,55.96,50.01,53.78,755344,EQ,4662.0,162.02,339064.0
2026-09-15,55.4,56.18,50.35,51.92,572747,EQ,5482.0,104.48,153644.0
2026-09-16,52.09,54.26,49.14,50.13,417500,EQ,2584,161.57,190625
2026-09-17,50.85,53.9,50.31,52.63,379760,EQ,2369,160.3,184546
2026-09-18,52.3,54.0,52.0,53.26,171382,EQ,955,179.46,79133
