Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,108.03,120.05,108.03,119.65,1206,EQ,17.0,70.94,1195.0
2026-08-18,120.99,123.0,116.0,122.0,1881,EQ,59.0,31.88,1670.0
2026-08-19,122.45,122.45,119.5,120.24,526,EQ,35.0,15.03,526.0
2026-08-20,120.8,130.0,120.0,122.09,4373,EQ,47.0,93.04,2292.0
2026-08-21,128.75,129.5,123.8,127.8,190,EQ,18.0,10.56,183.0
2026-08-24,115.1,125.0,115.1,123.82,667,EQ,34.0,19.62,576.0
2026-08-25,130.0,130.0,122.0,129.8,289,EQ,14.0,20.64,270.0
2026-08-26,129.7,129.7,119.2,123.71,1088,EQ,41.0,26.54,631.0
2026-08-27,123.41,123.41,123.4,123.41,1460,EQ,17.0,85.88,1436.0
2026-08-28,124.02,130.0,124.0,128.4,1555,EQ,20.0,77.75,1555.0
2026-08-31,129.04,138.0,129.0,132.0,3620,EQ,48.0,75.42,3421.0
2026-09-01,130.0,143.9,130.0,140.78,22887,EQ,262.0,87.35,15591.0
2026-09-02,143.0,144.9,134.01,137.23,9197,EQ,213.0,43.18,5248.0
2026-09-03,144.95,144.95,134.8,135.54,7999,EQ,75.0,106.65,7511.0
2026-09-04,135.54,135.54,130.0,134.8,736,EQ,40.0,18.4,691.0
2026-09-07,134.99,136.8,122.05,132.99,337,EQ,37.0,9.11,289.0
2026-09-08,126.73,129.35,125.15,125.9,2682,EQ,175.0,15.33,2459.0
2026-09-09,116.0,134.95,116.0,130.0,1921,EQ,38.0,50.55,1915.0
2026-09-10,141.7,149.5,104.0,127.48,1783,EQ,65.0,27.43,1363.0
2026-09-11,127.48,134.72,125.0,127.0,3083,EQ,68.0,45.34,293.0
2026-09-15,127.0,127.0,122.72,123.87,1731,EQ,183.0,9.46,1192.0
2026-09-16,123.0,123.9,117.05,120.26,2002,EQ,66,30.33,1860
2026-09-17,121.0,127.95,121.0,123.79,1113,EQ,42,26.5,1084
2026-09-18,130.0,130.0,124.0,128.2,1756,EQ,26,67.54,1596
