Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,832.0,832.0,800.0,813.6,734,EQ,67.0,10.96,586.0
2026-08-18,821.0,821.0,784.05,804.75,3492,EQ,390.0,8.95,2680.0
2026-08-19,821.0,929.0,821.0,882.2,43018,EQ,2972.0,14.47,20808.0
2026-08-20,882.2,905.0,855.0,881.55,6952,EQ,567.0,12.26,4740.0
2026-08-21,864.25,882.4,841.65,864.45,3685,EQ,450.0,8.19,1876.0
2026-08-24,884.95,898.0,851.05,863.9,7827,EQ,640.0,12.23,3972.0
2026-08-25,863.25,880.0,850.95,854.0,3002,EQ,261.0,11.5,1633.0
2026-08-26,865.0,928.95,865.0,900.55,17444,EQ,1254.0,13.91,12002.0
2026-08-27,900.55,900.55,864.0,869.45,2080,EQ,376.0,5.53,1302.0
2026-08-28,875.0,907.4,870.05,893.95,2754,EQ,387.0,7.12,1754.0
2026-08-31,890.0,904.0,870.1,882.95,4622,EQ,645.0,7.17,2382.0
2026-09-01,873.6,900.0,872.05,895.1,1525,EQ,184.0,8.29,1042.0
2026-09-02,895.1,895.1,870.0,871.55,4817,EQ,379.0,12.71,3986.0
2026-09-03,870.1,897.9,870.1,876.6,3619,EQ,240.0,15.08,2683.0
2026-09-04,889.95,906.1,868.05,888.2,2962,EQ,360.0,8.23,2190.0
2026-09-07,905.7,905.7,867.8,872.0,2107,EQ,323.0,6.52,1533.0
2026-09-08,874.8,900.0,856.2,863.1,3734,EQ,496.0,7.53,2721.0
2026-09-09,864.8,864.8,838.05,843.3,5717,EQ,491.0,11.64,4601.0
2026-09-10,843.0,879.0,834.95,869.5,3537,EQ,459.0,7.71,2005.0
2026-09-11,857.0,878.5,849.5,864.65,1843,EQ,259.0,7.12,1338.0
2026-09-15,864.65,864.65,821.3,827.7,2721,EQ,315.0,8.64,2002.0
2026-09-16,829.0,842.35,824.7,834.8,3090,EQ,329,9.39,2339
2026-09-17,830.5,842.65,818.05,828.7,2968,EQ,331,8.97,2077
2026-09-18,829.0,855.95,820.0,848.15,6294,EQ,453,13.89,4034
