Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2007-02-15,124.95,131.25,111.05,117.5,8237003,EQ,,,
2007-02-19,122.25,122.85,111.75,113.7,1880488,EQ,,,
2007-02-20,116.25,120.5,108.8,110.35,1493893,EQ,,,
2007-02-21,111.25,112.25,103.4,104.4,1079762,EQ,,,
2007-02-22,105.0,108.25,102.9,105.1,885695,EQ,,,
2007-02-23,106.25,113.0,105.0,109.2,1662305,EQ,,,
2007-02-26,110.0,110.0,103.75,107.3,267934,EQ,,,
2007-02-27,108.6,111.1,105.0,105.45,216927,EQ,,,
2007-02-28,84.55,102.25,84.55,96.95,149452,EQ,,,
2007-03-01,97.15,99.75,93.0,93.8,100616,EQ,,,
2007-03-02,96.15,98.0,90.5,91.9,94193,EQ,,,
2007-03-05,90.0,90.0,80.0,84.3,114953,EQ,,,
2007-03-06,84.75,90.0,81.25,81.95,72620,EQ,,,
2007-03-07,83.1,85.4,82.25,83.35,74431,EQ,,,
2007-03-08,83.75,84.4,79.75,83.25,32906,EQ,,,
2007-03-09,83.0,85.0,81.0,81.45,32215,EQ,,,
2007-03-12,81.3,83.75,80.4,81.35,23199,EQ,,,
2007-03-13,81.5,96.15,81.5,92.35,225967,EQ,,,
2007-03-14,91.25,95.3,83.25,89.85,219233,EQ,,,
2007-03-15,90.5,99.05,90.5,97.0,168873,EQ,,,
2007-03-16,97.0,101.4,96.25,98.65,155291,EQ,,,
2007-03-19,99.5,102.2,96.5,97.95,43641,EQ,,,
2007-03-20,99.0,101.0,95.3,96.45,48447,EQ,,,
2007-03-21,96.0,97.5,93.5,94.6,23058,EQ,,,
2007-03-22,96.75,96.75,94.25,94.55,15746,EQ,,,
2007-03-23,92.5,96.95,91.55,92.85,24294,EQ,,,
2007-03-26,93.5,93.95,87.65,88.6,19962,EQ,,,
2007-03-28,87.75,87.75,82.0,83.35,26689,EQ,,,
2007-03-29,83.75,84.25,81.4,81.6,30015,EQ,,,
2007-03-30,82.25,88.95,82.1,84.2,47932,EQ,,,
2007-04-02,80.0,83.65,79.9,82.2,13909,EQ,,,
2007-04-03,84.95,84.95,82.25,82.5,10647,EQ,,,
2007-04-04,83.7,84.0,81.25,81.7,14321,EQ,,,
2007-04-05,81.25,83.6,81.25,82.1,9311,EQ,,,
2007-04-09,83.3,87.2,82.65,85.8,18241,EQ,,,
2007-04-10,85.25,87.0,85.15,85.9,11805,EQ,,,
2007-04-11,85.75,89.25,85.5,86.45,23640,EQ,,,
2007-04-12,85.3,86.75,85.3,85.5,8572,EQ,,,
2007-04-13,86.25,93.0,85.0,90.15,46634,EQ,,,
2007-04-16,91.0,93.75,89.0,90.35,18514,EQ,,,
2007-04-17,90.5,95.5,87.5,89.1,65013,EQ,,,
2007-04-18,90.75,93.5,88.75,89.85,80801,EQ,,,
2007-04-19,89.6,93.5,87.75,92.7,17426,EQ,,,
2007-04-20,93.7,94.5,92.5,92.55,9516,EQ,,,
2007-04-23,93.7,93.9,90.1,91.3,21162,EQ,,,
2007-04-24,91.6,92.0,89.3,90.25,15309,EQ,,,
2007-04-25,81.2,92.25,81.2,90.15,14848,EQ,,,
2007-04-26,90.1,92.05,88.8,90.0,24221,EQ,,,
2007-04-27,90.5,92.8,89.0,90.2,23598,EQ,,,
2007-04-30,90.0,94.45,88.8,93.3,24272,EQ,,,
2007-05-03,94.2,96.2,90.6,91.1,27315,EQ,,,
2007-05-04,92.4,92.4,88.75,89.05,9653,EQ,,,
2007-05-07,92.2,92.2,88.75,88.95,8048,EQ,,,
2007-05-08,89.25,91.5,87.5,89.7,13659,EQ,,,
2007-05-09,89.05,90.0,87.55,88.4,6701,EQ,,,
2007-05-10,88.4,91.0,84.0,85.0,16572,EQ,,,
2007-05-11,84.95,88.5,80.8,84.35,55102,EQ,,,
2007-05-14,87.0,90.75,85.75,88.85,36935,EQ,,,
2007-05-15,90.0,91.4,88.5,89.0,30209,EQ,,,
2007-05-16,89.3,93.75,88.0,89.8,51259,EQ,,,
2007-05-17,93.25,93.25,90.0,90.75,21755,EQ,,,
2007-05-18,91.3,93.0,88.8,89.2,33508,EQ,,,
2007-05-21,90.95,91.15,87.5,87.85,16215,EQ,,,
2007-05-22,88.7,92.2,85.6,90.2,24532,EQ,,,
2007-05-23,90.55,91.45,88.0,88.1,9854,EQ,,,
2007-05-24,89.45,89.45,85.65,86.35,6391,EQ,,,
2007-05-25,84.0,86.9,83.8,85.7,6791,EQ,,,
2007-05-28,86.5,87.2,85.5,85.8,4771,EQ,,,
2007-05-29,88.25,88.25,85.5,86.0,5299,EQ,,,
2007-05-30,84.95,86.85,84.5,84.9,6317,EQ,,,
2007-05-31,85.5,86.2,84.3,84.7,9377,EQ,,,
2007-06-01,84.8,89.85,84.75,88.95,47476,EQ,,,
2007-06-04,90.0,91.25,87.55,87.95,25138,EQ,,,
2007-06-05,87.15,88.1,85.8,86.4,8607,EQ,,,
2007-06-06,86.6,87.55,83.3,83.65,21570,EQ,,,
2007-06-07,83.4,85.3,82.8,83.55,20286,EQ,,,
2007-06-08,81.25,84.5,79.9,82.65,16682,EQ,,,
2007-06-11,85.7,85.7,81.25,81.4,8487,EQ,,,
2007-06-12,82.7,82.8,78.5,79.0,8091,EQ,,,
2007-06-13,79.65,80.75,78.95,79.2,4408,EQ,,,
2007-06-14,80.0,80.5,79.5,79.7,6685,EQ,,,
2007-06-15,81.85,81.85,79.3,79.65,4594,EQ,,,
2007-06-18,80.25,81.5,77.75,78.55,6407,EQ,,,
2007-06-19,78.75,79.95,78.0,78.4,7036,EQ,,,
2007-06-20,79.0,79.7,78.0,78.3,8615,EQ,,,
2007-06-21,75.65,83.35,75.65,80.2,34036,EQ,,,
2007-06-22,81.5,85.6,76.5,77.7,138957,EQ,,,
2007-06-25,82.45,82.5,76.9,77.6,66430,EQ,,,
2007-06-26,78.7,78.7,75.85,76.3,24755,EQ,,,
2007-06-27,87.5,87.5,75.4,75.7,12649,EQ,,,
2007-06-28,76.4,76.95,74.25,75.0,13030,EQ,,,
2007-06-29,75.0,75.75,73.5,73.8,17891,EQ,,,
2007-07-02,74.8,77.15,74.15,75.25,19317,EQ,,,
2007-07-03,76.45,76.5,75.25,75.6,26668,EQ,,,
2007-07-04,76.5,78.2,75.9,76.45,44246,EQ,,,
2007-07-05,76.5,76.95,74.5,75.15,15702,EQ,,,
2007-07-06,73.5,75.3,73.5,74.5,16584,EQ,,,
2007-07-09,76.95,79.95,75.25,76.35,39363,EQ,,,
2007-07-10,76.5,77.75,74.75,75.2,21084,EQ,,,
2007-07-11,75.0,76.2,74.5,74.85,9521,EQ,,,
2007-07-12,77.45,77.45,74.1,74.75,14516,EQ,,,
2007-07-13,77.0,87.15,75.0,79.45,348133,EQ,,,
2007-07-16,80.5,81.25,76.8,77.25,83150,EQ,,,
2007-07-17,78.1,80.25,74.75,75.2,74469,EQ,,,
2007-07-18,75.0,76.05,73.25,73.95,51817,EQ,,,
