Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,32.95,35.0,30.05,32.58,5607,EQ,175.0,32.04,4314.0
2026-08-18,34.8,34.8,29.05,30.17,10208,EQ,181.0,56.4,8683.0
2026-08-19,30.85,30.9,30.0,30.76,393,EQ,18.0,21.83,393.0
2026-08-20,31.4,31.4,29.99,30.53,956,EQ,31.0,30.84,750.0
2026-08-21,33.4,33.4,31.5,31.6,1820,EQ,35.0,52.0,1753.0
2026-08-24,29.11,31.6,29.11,29.7,1821,EQ,39.0,46.69,1711.0
2026-08-25,31.99,35.64,27.61,30.38,27892,EQ,356.0,78.35,15631.0
2026-08-26,30.38,33.5,29.81,30.66,2958,EQ,106.0,27.91,1639.0
2026-08-27,32.0,32.04,30.05,30.31,928,EQ,34.0,27.29,795.0
2026-08-28,31.5,31.5,29.85,30.13,2249,EQ,39.0,57.67,2032.0
2026-08-31,32.0,33.0,30.0,31.16,2002,EQ,53.0,37.77,1690.0
2026-09-01,30.01,33.0,29.55,31.58,878,EQ,24.0,36.58,792.0
2026-09-02,30.7,31.49,29.56,31.39,1386,EQ,44.0,31.5,1076.0
2026-09-03,28.6,32.5,28.6,29.48,3977,EQ,56.0,71.02,3483.0
2026-09-04,32.5,32.5,28.52,29.01,5152,EQ,84.0,61.33,3389.0
2026-09-07,31.9,31.9,29.32,29.68,2251,EQ,49.0,45.94,2135.0
2026-09-08,30.0,30.8,29.15,29.81,2165,EQ,46.0,47.07,1294.0
2026-09-09,29.6,30.2,29.06,30.2,2017,EQ,34.0,59.32,1506.0
2026-09-10,29.61,30.8,29.59,30.15,1802,EQ,54.0,33.37,1501.0
2026-09-11,29.0,30.15,29.0,29.85,1965,EQ,34.0,57.79,789.0
2026-09-15,29.86,29.86,27.5,28.4,4669,EQ,91.0,51.31,4414.0
2026-09-16,28.4,28.4,27.8,28.1,1778,EQ,35,50.8,1536
2026-09-17,28.4,28.94,27.85,28.77,775,EQ,126,6.15,669
2026-09-18,28.91,29.48,28.0,29.0,1414,EQ,38,37.21,1265
