Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,150.1,154.0,145.0,148.41,57496,EQ,401.0,143.38,48159.0
2026-08-18,148.41,165.31,148.41,161.65,43701,EQ,1000.0,43.7,26968.0
2026-08-19,160.0,165.0,159.0,162.15,20374,EQ,367.0,55.51,15376.0
2026-08-20,159.3,165.0,159.3,163.8,39953,EQ,373.0,107.11,28505.0
2026-08-21,164.35,168.74,164.35,165.65,30434,EQ,542.0,56.15,22109.0
2026-08-24,166.05,168.97,154.6,156.05,38784,EQ,693.0,55.97,27954.0
2026-08-25,159.99,159.99,151.0,152.34,21850,EQ,407.0,53.69,16140.0
2026-08-26,150.57,161.0,150.0,150.86,28381,EQ,577.0,49.19,20585.0
2026-08-27,149.65,153.78,149.65,150.6,11911,EQ,232.0,51.34,9113.0
2026-08-28,152.94,156.18,149.0,149.51,31498,EQ,506.0,62.25,23543.0
2026-08-31,150.0,152.39,147.61,150.44,24640,EQ,484.0,50.91,17791.0
2026-09-01,150.44,152.71,148.0,148.42,21825,EQ,438.0,49.83,18356.0
2026-09-02,148.0,151.54,140.6,144.62,30475,EQ,561.0,54.32,19842.0
2026-09-03,147.56,149.68,143.26,144.2,43386,EQ,495.0,87.65,36119.0
2026-09-04,143.05,147.94,141.0,142.78,51934,EQ,928.0,55.96,44019.0
2026-09-07,146.91,151.76,144.0,145.39,43276,EQ,879.0,49.23,31475.0
2026-09-08,149.5,149.5,143.52,144.12,16681,EQ,443.0,37.65,12542.0
2026-09-09,144.99,145.97,142.21,143.02,24202,EQ,805.0,30.06,14203.0
2026-09-10,144.0,144.73,140.0,140.7,19534,EQ,505.0,38.68,13401.0
2026-09-11,140.85,141.99,138.8,140.83,25399,EQ,790.0,32.15,16931.0
2026-09-15,140.51,145.92,138.55,139.45,34559,EQ,998.0,34.63,25532.0
2026-09-16,142.35,142.35,136.11,137.47,21498,EQ,509,42.24,12436
2026-09-17,143.79,143.79,137.0,137.82,29811,EQ,968,30.8,13667
2026-09-18,139.1,142.42,136.5,137.16,20393,EQ,746,27.34,13647
