Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,33.77,33.77,31.5,31.53,2166,EQ,47.0,46.09,1136.0
2026-08-18,34.79,34.79,28.36,30.65,2118,EQ,47.0,45.06,1933.0
2026-08-19,30.5,30.5,30.48,30.48,25,EQ,5.0,5.0,25.0
2026-08-20,29.0,32.28,29.0,29.29,29,EQ,6.0,4.83,28.0
2026-08-21,31.58,31.58,28.0,30.97,635,EQ,33.0,19.24,576.0
2026-08-24,30.97,30.97,28.11,28.3,3255,EQ,38.0,85.66,3243.0
2026-08-25,28.4,30.94,28.4,29.45,1520,EQ,25.0,60.8,1515.0
2026-08-26,33.88,33.88,29.5,29.5,130,EQ,13.0,10.0,124.0
2026-08-27,29.0,31.93,28.0,31.93,114,EQ,12.0,9.5,102.0
2026-08-28,31.93,31.93,28.06,29.52,742,EQ,23.0,32.26,565.0
2026-08-31,29.66,30.87,28.78,30.46,874,EQ,18.0,48.56,834.0
2026-09-01,30.44,30.44,30.1,30.1,30,EQ,2.0,15.0,30.0
2026-09-02,29.99,29.99,28.56,28.77,230,EQ,18.0,12.78,191.0
2026-09-03,29.99,29.99,28.1,28.35,1502,EQ,9.0,166.89,1002.0
2026-09-04,28.0,29.87,28.0,29.64,1968,EQ,21.0,93.71,1447.0
2026-09-07,29.5,29.5,29.42,29.42,507,EQ,4.0,126.75,507.0
2026-09-08,29.28,29.28,28.99,29.0,683,EQ,12.0,56.92,675.0
2026-09-10,29.0,29.0,28.5,28.5,431,EQ,9.0,47.89,431.0
2026-09-11,29.97,30.0,28.55,29.58,1047,EQ,37.0,28.3,929.0
2026-09-15,29.58,29.58,27.53,28.95,806,EQ,34.0,23.71,751.0
2026-09-16,28.95,28.95,28.95,28.95,50,EQ,2,25.0,50
2026-09-17,29.55,29.55,29.38,29.38,55,EQ,2,27.5,55
2026-09-18,28.25,29.65,28.25,29.6,1363,EQ,14,97.36,1333
