Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-04,230.0,241.5,230.0,241.5,1959092,BE,16280.0,120.34,1959092.0
2026-09-07,245.0,245.0,229.43,229.92,730027,BE,7812.0,93.45,730027.0
2026-09-08,218.43,227.1,218.43,218.53,428308,BE,15836.0,27.05,428308.0
2026-09-09,215.0,229.45,215.0,229.45,352389,BE,2534.0,139.06,352389.0
2026-09-10,230.0,231.0,220.5,226.92,181325,BE,1715.0,105.73,181325.0
2026-09-11,225.0,231.0,220.0,228.8,139869,BE,1097.0,127.5,139869.0
2026-09-15,232.99,234.0,217.61,220.64,118719,BE,948.0,125.23,118719.0
2026-09-16,218.0,228.05,209.61,221.55,180110,BE,1261,142.83,180110
2026-09-17,217.1,224.7,215.0,221.17,105062,BE,582,180.52,105062
2026-09-18,219.89,232.22,217.1,232.06,229769,BE,1694,135.64,229769
