Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,0.57,0.58,0.5,0.52,922092,EQ,190.0,4853.12,742777.0
2026-08-18,0.55,0.55,0.53,0.54,94707,EQ,108.0,876.92,92607.0
2026-08-19,0.55,0.55,0.53,0.53,242669,EQ,109.0,2226.32,232033.0
2026-08-20,0.53,0.55,0.53,0.54,104720,EQ,100.0,1047.2,90450.0
2026-08-21,0.54,0.55,0.52,0.53,108507,EQ,104.0,1043.34,106006.0
2026-08-24,0.52,0.55,0.52,0.54,249588,EQ,133.0,1876.6,242528.0
2026-08-25,0.54,0.55,0.53,0.54,68583,EQ,70.0,979.76,65907.0
2026-08-26,0.54,0.55,0.47,0.54,215585,EQ,112.0,1924.87,110571.0
2026-08-27,0.54,0.55,0.52,0.53,83271,EQ,91.0,915.07,74583.0
2026-08-28,0.53,0.55,0.53,0.55,134404,EQ,84.0,1600.05,112077.0
2026-08-31,0.55,0.55,0.53,0.53,92520,EQ,117.0,790.77,74419.0
2026-09-01,0.54,0.55,0.53,0.53,132128,EQ,128.0,1032.25,85906.0
2026-09-02,0.55,0.55,0.51,0.51,148588,EQ,129.0,1151.84,99685.0
2026-09-03,0.52,0.56,0.51,0.52,233973,EQ,119.0,1966.16,90550.0
2026-09-04,0.52,0.56,0.52,0.55,111170,EQ,126.0,882.3,96526.0
2026-09-07,0.55,0.56,0.53,0.54,130426,EQ,144.0,905.74,105235.0
2026-09-08,0.54,0.57,0.54,0.55,127960,EQ,136.0,940.88,94130.0
2026-09-09,0.57,0.58,0.55,0.57,231327,EQ,196.0,1180.24,154756.0
2026-09-10,0.58,0.61,0.56,0.59,209988,EQ,247.0,850.15,176408.0
2026-09-11,0.59,0.59,0.55,0.58,269843,EQ,136.0,1984.14,223226.0
2026-09-15,0.58,0.63,0.54,0.55,524693,EQ,258.0,2033.69,426681.0
2026-09-16,0.56,0.56,0.54,0.55,78577,EQ,107,734.36,72381
2026-09-17,0.55,0.56,0.54,0.54,34441,EQ,87,395.87,27291
2026-09-18,0.55,0.56,0.53,0.55,63127,EQ,103,612.88,47313
