Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-22,28.29,28.29,27.5,27.56,54805,EQ,127.0,431.54,53605.0
2026-07-23,27.94,27.94,27.2,27.29,75735,EQ,68.0,1113.75,34275.0
2026-07-24,27.28,27.44,27.04,27.41,22534,EQ,39.0,577.79,21114.0
2026-07-27,27.44,27.53,27.31,27.31,3633,EQ,44.0,82.57,2231.0
2026-07-28,27.5,28.31,27.01,27.31,21303,EQ,60.0,355.05,12792.0
2026-07-29,27.32,27.6,27.32,27.59,3838,EQ,13.0,295.23,2987.0
2026-07-30,27.51,27.52,27.44,27.5,1080,EQ,12.0,90.0,1000.0
2026-07-31,27.49,27.58,27.47,27.5,1055,EQ,10.0,105.5,500.0
2026-08-03,27.72,27.92,27.5,27.86,15780,EQ,25.0,631.2,12043.0
2026-08-04,27.84,28.03,27.72,28.0,10542,EQ,13.0,810.92,10541.0
2026-08-05,27.88,27.92,27.7,27.75,4390,EQ,25.0,175.6,3626.0
2026-08-06,27.95,28.1,27.7,27.84,12197,EQ,21.0,580.81,11800.0
2026-08-07,27.84,27.84,27.43,27.66,17269,EQ,52.0,332.1,17269.0
2026-08-10,27.66,27.69,27.44,27.67,6575,EQ,32.0,205.47,6178.0
2026-08-11,28.22,28.22,27.32,27.42,3433,EQ,44.0,78.02,3412.0
2026-08-12,27.49,28.33,27.37,27.59,256281,EQ,92.0,2785.66,256264.0
2026-08-13,27.39,27.49,27.33,27.49,53590,EQ,38.0,1410.26,52806.0
2026-08-14,27.34,27.85,27.25,27.37,19096,EQ,33.0,578.67,17114.0
2026-08-17,27.35,27.5,27.3,27.5,307791,EQ,21.0,14656.71,307113.0
2026-08-18,27.41,27.5,27.33,27.5,1747,EQ,9.0,194.11,1607.0
2026-08-19,27.49,27.49,27.23,27.28,1735,EQ,17.0,102.06,1510.0
2026-08-20,27.5,27.63,27.49,27.49,4244,EQ,18.0,235.78,4237.0
2026-08-21,27.64,27.73,27.62,27.72,5746,EQ,9.0,638.44,5746.0
2026-08-24,27.72,27.78,27.5,27.7,10683,EQ,21.0,508.71,10681.0
2026-08-25,27.97,27.97,27.46,27.61,6079,EQ,28.0,217.11,6078.0
2026-08-26,27.74,27.87,27.74,27.81,4640,EQ,15.0,309.33,4238.0
2026-08-27,27.81,28.03,27.81,27.94,37160,EQ,22.0,1689.09,36350.0
2026-08-28,27.94,27.96,27.7,27.77,21964,EQ,16.0,1372.75,21962.0
2026-08-31,27.9,27.96,27.7,27.96,597,EQ,17.0,35.12,375.0
2026-09-01,28.02,28.02,27.63,27.64,206212,EQ,479.0,430.51,201299.0
2026-09-02,27.62,27.75,27.6,27.6,2433,EQ,16.0,152.06,2429.0
2026-09-03,27.99,28.01,27.84,27.85,31153,EQ,14.0,2225.21,25709.0
2026-09-04,27.92,28.0,27.91,28.0,722,EQ,9.0,80.22,722.0
2026-09-07,28.1,28.1,27.78,27.87,7757,EQ,17.0,456.29,5934.0
2026-09-08,27.68,27.74,27.6,27.62,2839,EQ,26.0,109.19,2836.0
2026-09-09,27.48,27.56,27.33,27.4,4949,EQ,21.0,235.67,4647.0
2026-09-10,27.3,27.43,27.3,27.35,18361,EQ,24.0,765.04,18106.0
2026-09-11,27.12,27.53,27.12,27.53,3765,EQ,15.0,251.0,3634.0
2026-09-15,27.65,27.65,27.26,27.28,7206,EQ,25.0,288.24,6470.0
2026-09-16,27.23,27.45,27.15,27.41,11177,EQ,17,657.47,11124
2026-09-17,27.5,27.5,27.23,27.23,1080,EQ,83,13.01,1018
2026-09-18,27.3,27.43,27.3,27.32,2060,EQ,15,137.33,2004
