Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-01,188.9,192.0,179.46,179.46,5277586,BE,41278.0,127.85,5277586.0
2026-07-02,171.0,180.01,170.49,175.2,983917,BE,13196.0,74.56,983917.0
2026-07-03,172.0,172.8,166.5,167.3,651479,BE,6997.0,93.11,651479.0
2026-07-06,167.5,172.0,165.0,168.24,491588,BE,3092.0,158.99,491588.0
2026-07-07,170.0,170.05,161.6,169.19,511228,BE,3381.0,151.21,511228.0
2026-07-08,169.8,174.4,165.0,171.99,683416,BE,3675.0,185.96,683416.0
2026-07-09,169.0,179.8,169.0,178.13,400529,BE,3923.0,102.1,400529.0
2026-07-10,176.3,180.01,174.0,178.98,204368,BE,1952.0,104.7,204368.0
2026-07-13,175.55,187.92,175.5,187.52,503874,BE,3891.0,129.5,503874.0
2026-07-14,190.0,196.89,190.0,196.89,493689,BE,4130.0,119.54,493689.0
2026-07-15,204.0,222.0,192.43,209.43,2708932,EQ,24780.0,109.32,954880.0
2026-07-16,211.3,214.7,203.13,206.07,520223,EQ,7551.0,68.89,188915.0
2026-07-17,205.51,217.7,198.0,214.11,1189889,EQ,12221.0,97.36,528390.0
2026-07-20,214.11,219.8,209.21,213.51,547430,EQ,9653.0,56.71,247299.0
2026-07-21,205.0,213.14,199.1,203.06,1289013,EQ,15953.0,80.8,529898.0
2026-07-22,205.0,206.93,200.82,204.63,274583,EQ,4642.0,59.15,105727.0
2026-07-23,205.0,208.71,202.0,202.34,288475,EQ,4217.0,68.41,113178.0
2026-07-24,202.0,202.23,192.4,194.07,226098,EQ,4544.0,49.76,102763.0
2026-07-27,193.56,201.5,193.56,197.89,296930,EQ,5141.0,57.76,113819.0
2026-07-28,196.5,197.5,185.13,187.26,262234,EQ,5397.0,48.59,114447.0
2026-07-29,188.76,189.6,182.34,185.93,281485,EQ,4250.0,66.23,144430.0
2026-07-30,182.0,184.14,176.5,177.98,367270,EQ,5373.0,68.35,194323.0
2026-07-31,177.98,182.24,175.76,178.32,186514,EQ,4800.0,38.86,77267.0
2026-08-03,180.3,189.49,178.64,183.76,280637,EQ,6144.0,45.68,108753.0
2026-08-04,183.34,188.0,183.34,185.81,146163,EQ,3040.0,48.08,68832.0
2026-08-05,186.8,187.57,182.42,184.5,126256,EQ,2168.0,58.24,60439.0
2026-08-06,184.45,187.7,182.05,186.6,128171,EQ,2168.0,59.12,64911.0
2026-08-07,186.8,198.0,182.1,185.21,373777,EQ,6817.0,54.83,143555.0
2026-08-10,184.8,197.07,181.13,193.9,807563,EQ,7629.0,105.85,484880.0
2026-08-11,190.01,195.0,183.47,187.61,1236465,EQ,8415.0,146.94,591959.0
2026-08-12,188.3,191.73,183.83,184.96,145792,EQ,2790.0,52.26,79505.0
2026-08-13,184.96,186.55,181.59,182.62,86577,EQ,1633.0,53.02,51482.0
2026-08-14,182.45,184.4,173.1,177.79,220456,EQ,4194.0,52.56,116552.0
2026-08-17,180.0,183.4,178.0,180.97,86163,EQ,1849.0,46.6,41772.0
2026-08-18,181.5,183.5,178.0,179.25,95052,EQ,1425.0,66.7,57357.0
2026-08-19,182.0,182.0,176.0,177.39,112565,EQ,1436.0,78.39,74170.0
2026-08-20,177.39,180.9,173.26,173.84,151763,EQ,1654.0,91.76,106895.0
2026-08-21,173.9,180.0,173.9,177.41,170052,EQ,2195.0,77.47,75907.0
2026-08-24,180.85,212.89,180.85,212.89,2520932,EQ,9952.0,253.31,1071292.0
2026-08-25,225.19,242.0,207.0,213.2,9924084,EQ,118182.0,83.97,1106258.0
2026-08-26,215.01,255.84,210.62,255.69,12226520,EQ,113204.0,108.0,1042655.0
2026-08-27,259.7,279.33,237.01,263.57,16411137,EQ,170663.0,96.16,956103.0
2026-08-28,259.8,264.87,245.31,250.51,2950380,EQ,33910.0,87.01,421639.0
2026-08-31,248.0,258.5,236.11,240.32,1761091,EQ,24514.0,71.84,435112.0
2026-09-01,240.32,247.55,233.3,237.07,759953,EQ,11348.0,66.97,221186.0
2026-09-02,233.34,258.99,233.34,246.17,1238324,EQ,14962.0,82.76,429830.0
2026-09-03,246.9,253.8,239.32,244.26,1947346,EQ,18115.0,107.5,809987.0
2026-09-04,249.9,268.68,247.06,268.68,1915247,EQ,24492.0,78.2,624633.0
2026-09-07,270.4,288.3,270.4,276.32,1832168,EQ,28263.0,64.83,426046.0
2026-09-08,273.01,283.95,266.94,275.04,848380,EQ,13698.0,61.93,286491.0
2026-09-09,274.8,285.0,271.13,277.98,714676,EQ,10096.0,70.79,269239.0
2026-09-10,283.0,289.0,263.0,267.51,742523,EQ,12995.0,57.14,286373.0
2026-09-11,264.06,273.96,261.0,269.28,368989,EQ,6901.0,53.47,119109.0
2026-09-15,269.17,269.17,250.0,253.22,537792,EQ,6409.0,83.91,306945.0
2026-09-16,252.9,258.0,242.01,252.05,333413,EQ,5902,56.49,112035
2026-09-17,253.0,273.0,249.73,266.17,421913,EQ,8251,51.13,120317
2026-09-18,272.18,292.78,265.01,290.85,1439325,EQ,12589,114.33,736215
