Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,145.0,145.0,145.0,145.0,1,EQ,1.0,1.0,1.0
2026-08-18,146.45,146.45,136.3,136.35,894,EQ,15.0,59.6,894.0
2026-08-19,136.35,149.9,136.0,143.5,1377,EQ,33.0,41.73,1377.0
2026-08-20,136.0,143.25,133.0,143.25,414,EQ,10.0,41.4,414.0
2026-08-24,143.25,145.0,139.0,139.0,744,EQ,35.0,21.26,692.0
2026-08-25,133.0,139.0,133.0,139.0,54,EQ,7.0,7.71,52.0
2026-08-26,151.99,151.99,151.0,151.66,3,EQ,2.0,1.5,3.0
2026-08-27,136.5,145.0,136.5,145.0,12,EQ,4.0,3.0,12.0
2026-08-28,145.0,145.0,130.5,134.5,631,EQ,16.0,39.44,321.0
2026-08-31,134.5,145.0,130.0,144.9,509,EQ,25.0,20.36,508.0
2026-09-01,146.34,146.34,130.41,134.15,564,EQ,34.0,16.59,387.0
2026-09-02,134.15,139.9,131.05,138.85,539,EQ,21.0,25.67,533.0
2026-09-03,138.5,145.6,130.0,138.37,3378,EQ,54.0,62.56,3189.0
2026-09-04,138.0,138.0,129.99,136.83,309,EQ,12.0,25.75,285.0
2026-09-07,137.0,138.9,126.2,132.27,1004,EQ,38.0,26.42,933.0
2026-09-08,132.27,133.0,127.05,130.01,532,EQ,16.0,33.25,296.0
2026-09-09,130.0,133.0,130.0,132.04,450,EQ,13.0,34.62,450.0
2026-09-10,132.0,132.0,126.0,126.0,61,EQ,2.0,30.5,61.0
2026-09-11,126.0,138.6,125.58,133.8,883,EQ,52.0,16.98,442.0
2026-09-15,134.46,134.46,121.2,123.7,160,EQ,15.0,10.67,124.0
2026-09-16,124.0,136.0,124.0,135.57,707,EQ,19,37.21,688
2026-09-17,125.0,145.0,125.0,144.0,53,EQ,9,5.89,32
2026-09-18,130.01,147.0,130.0,138.89,1174,EQ,44,26.68,636
