Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,98.19,114.0,82.9,94.73,1133,EQ,45.0,25.18,1112.0
2026-08-18,105.0,113.0,96.0,96.72,1720,EQ,67.0,25.67,1400.0
2026-08-19,96.72,99.7,94.33,94.56,480,EQ,43.0,11.16,438.0
2026-08-20,99.0,99.0,93.99,98.52,6797,EQ,76.0,89.43,6654.0
2026-08-21,94.5,99.5,92.0,93.33,10016,EQ,107.0,93.61,9757.0
2026-08-24,99.99,100.0,94.1,94.81,918,EQ,36.0,25.5,769.0
2026-08-25,94.81,97.0,91.55,92.5,29,EQ,11.0,2.64,29.0
2026-08-26,92.5,95.99,90.1,94.18,924,EQ,30.0,30.8,877.0
2026-08-27,94.5,94.5,89.3,89.44,6949,EQ,122.0,56.96,6705.0
2026-08-28,91.67,94.99,86.38,88.3,2791,EQ,123.0,22.69,2419.0
2026-08-31,88.25,90.5,86.0,86.57,1040,EQ,56.0,18.57,891.0
2026-09-01,86.6,93.75,86.6,89.08,4669,EQ,100.0,46.69,3894.0
2026-09-02,90.0,90.0,87.34,88.66,1028,EQ,42.0,24.48,832.0
2026-09-03,88.66,93.0,88.66,90.4,934,EQ,35.0,26.69,778.0
2026-09-04,92.21,99.0,87.1,88.08,2343,EQ,62.0,37.79,1924.0
2026-09-07,93.95,93.95,88.0,89.68,2950,EQ,74.0,39.86,2666.0
2026-09-08,93.0,93.0,87.31,88.17,1123,EQ,54.0,20.8,1083.0
2026-09-09,88.0,90.0,88.0,88.66,941,EQ,14.0,67.21,898.0
2026-09-10,88.66,91.89,88.0,88.07,1842,EQ,45.0,40.93,1831.0
2026-09-11,88.51,89.99,80.3,87.94,2567,EQ,50.0,51.34,1352.0
2026-09-15,88.0,88.0,85.0,86.1,668,EQ,24.0,27.83,642.0
2026-09-16,91.6,93.0,68.88,83.72,2735,EQ,62,44.11,1224
2026-09-17,86.97,86.97,84.4,86.79,123,EQ,17,7.24,118
2026-09-18,89.95,89.95,85.05,87.28,1654,EQ,31,53.35,1432
