Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,170.0,170.0,170.0,170.0,134,EQ,2.0,67.0,134.0
2026-08-19,170.0,170.0,170.0,170.0,5,EQ,2.0,2.5,5.0
2026-08-20,170.0,170.0,170.0,170.0,40,EQ,1.0,40.0,40.0
2026-08-21,170.0,178.5,170.0,170.32,104,EQ,4.0,26.0,102.0
2026-08-24,178.5,178.5,178.5,178.5,89,EQ,7.0,12.71,89.0
2026-08-25,178.5,178.5,170.0,172.0,174,EQ,6.0,29.0,174.0
2026-08-26,175.0,175.0,173.0,173.0,33,EQ,9.0,3.67,33.0
2026-08-27,170.0,170.0,170.0,170.0,101,EQ,6.0,16.83,101.0
2026-08-31,165.0,170.0,165.0,170.0,47,EQ,4.0,11.75,47.0
2026-09-01,170.0,175.0,170.0,175.0,102,EQ,3.0,34.0,102.0
2026-09-04,183.0,183.75,183.0,183.5,365,EQ,6.0,60.83,345.0
2026-09-07,184.41,192.6,183.5,192.6,64,EQ,8.0,8.0,64.0
2026-09-08,192.6,192.6,183.0,192.5,169,EQ,11.0,15.36,165.0
2026-09-09,192.5,192.5,183.0,183.0,51,EQ,2.0,25.5,51.0
2026-09-10,175.03,175.05,175.03,175.05,6,EQ,2.0,3.0,3.0
2026-09-15,175.05,175.05,175.05,175.05,5,EQ,1.0,5.0,5.0
2026-09-17,174.18,174.18,174.18,174.18,1,EQ,1,1.0,1
2026-09-18,174.15,174.15,174.15,174.15,29,EQ,1,29.0,29
