Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,149.95,149.95,149.95,149.95,150,EQ,8.0,18.75,150.0
2026-08-18,149.0,154.95,148.0,151.33,247,EQ,25.0,9.88,231.0
2026-08-19,152.0,152.0,150.8,150.8,146,EQ,12.0,12.17,139.0
2026-08-21,151.0,151.1,145.0,146.44,54,EQ,6.0,9.0,39.0
2026-08-24,170.05,170.05,147.0,147.13,1889,EQ,57.0,33.14,977.0
2026-08-25,150.07,153.0,150.0,153.0,257,EQ,14.0,18.36,257.0
2026-08-26,150.71,153.0,145.1,145.1,121,EQ,17.0,7.12,86.0
2026-08-27,153.0,153.0,140.5,140.51,232,EQ,18.0,12.89,195.0
2026-08-28,149.8,149.8,140.54,148.5,247,EQ,22.0,11.23,94.0
2026-08-31,154.7,154.7,153.0,154.0,298,EQ,17.0,17.53,288.0
2026-09-01,159.8,159.8,146.1,148.15,49,EQ,12.0,4.08,42.0
2026-09-02,144.1,146.3,140.0,140.0,863,EQ,37.0,23.32,832.0
2026-09-03,147.9,168.0,146.0,157.05,2613,EQ,79.0,33.08,2233.0
2026-09-04,160.2,163.8,155.1,157.56,1101,EQ,41.0,26.85,767.0
2026-09-07,158.34,158.34,133.5,141.6,903,EQ,63.0,14.33,679.0
2026-09-08,142.0,155.0,142.0,151.11,716,EQ,72.0,9.94,501.0
2026-09-09,154.15,154.15,144.2,144.2,472,EQ,20.0,23.6,395.0
2026-09-10,153.99,159.9,147.15,155.34,1950,EQ,61.0,31.97,960.0
2026-09-11,155.0,157.99,147.5,152.18,329,EQ,20.0,16.45,294.0
2026-09-15,155.0,155.0,148.0,154.5,134,EQ,11.0,12.18,125.0
2026-09-16,167.0,167.0,152.05,158.84,832,EQ,41,20.29,701
2026-09-17,158.84,160.1,155.66,158.99,61,EQ,9,6.78,59
2026-09-18,155.8,158.4,154.4,158.4,140,EQ,13,10.77,140
