Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-19,97.7,119.6,97.7,105.0,534,EQ,26.0,20.54,487.0
2026-08-20,114.0,126.0,113.99,126.0,8931,EQ,145.0,61.59,6492.0
2026-08-21,143.0,151.2,141.06,151.2,81301,EQ,897.0,90.64,21856.0
2026-08-24,161.9,161.9,136.08,144.09,66847,EQ,1435.0,46.58,21655.0
2026-08-25,146.9,147.0,133.9,134.14,7466,EQ,146.0,51.14,3832.0
2026-08-26,135.2,135.2,124.0,125.47,6243,EQ,207.0,30.16,2192.0
2026-08-27,126.0,130.0,113.1,118.51,2163,EQ,77.0,28.09,1116.0
2026-08-28,121.89,122.99,115.75,120.98,796,EQ,29.0,27.45,398.0
2026-08-31,121.9,121.9,115.05,116.02,596,EQ,31.0,19.23,503.0
2026-09-01,116.0,119.0,111.06,113.49,752,EQ,27.0,27.85,715.0
2026-09-02,113.49,114.45,113.49,114.45,84,EQ,5.0,16.8,84.0
2026-09-03,120.0,120.17,119.99,120.0,427,EQ,12.0,35.58,427.0
2026-09-04,120.0,125.0,120.0,123.23,206,EQ,12.0,17.17,186.0
2026-09-07,121.0,121.0,120.1,120.4,160,EQ,10.0,16.0,160.0
2026-09-08,119.99,120.0,118.0,118.0,168,EQ,13.0,12.92,168.0
2026-09-09,122.0,122.0,113.01,113.01,633,EQ,22.0,28.77,622.0
2026-09-10,113.01,113.01,113.01,113.01,200,EQ,4.0,50.0,200.0
2026-09-11,113.01,113.25,111.0,111.65,200,EQ,13.0,15.38,194.0
2026-09-15,111.65,111.65,111.65,111.65,1,EQ,1.0,1.0,1.0
2026-09-16,109.42,109.42,106.25,106.27,400,EQ,21,19.05,400
2026-09-17,105.0,105.39,101.0,101.51,2802,EQ,75,37.36,2012
2026-09-18,101.5,106.0,100.0,100.0,1107,EQ,35,31.63,1106
