Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-22,274.95,276.0,274.95,276.0,45,EQ,8.0,5.62,42.0
2026-04-23,304.0,304.0,271.3,277.25,121,EQ,34.0,3.56,102.0
2026-04-24,278.05,280.0,274.95,280.0,165,EQ,11.0,15.0,103.0
2026-04-27,282.0,288.0,277.7,288.0,19,EQ,7.0,2.71,15.0
2026-04-28,276.35,276.35,276.3,276.3,2,EQ,2.0,1.0,1.0
2026-04-29,274.0,283.0,274.0,283.0,1524,EQ,11.0,138.55,1231.0
2026-04-30,277.05,277.05,277.0,277.0,73,EQ,9.0,8.11,69.0
2026-05-04,277.0,277.0,277.0,277.0,35,EQ,1.0,35.0,35.0
2026-05-05,277.0,283.95,268.0,271.05,408,EQ,27.0,15.11,310.0
2026-05-06,272.3,282.0,272.3,274.8,165,EQ,9.0,18.33,164.0
2026-05-08,278.0,285.0,275.0,285.0,62,EQ,10.0,6.2,61.0
2026-05-11,286.4,296.0,278.05,278.05,65,EQ,8.0,8.12,57.0
2026-05-12,278.3,278.3,275.3,277.4,8,EQ,5.0,1.6,8.0
2026-05-13,284.0,284.0,284.0,284.0,1,EQ,1.0,1.0,1.0
2026-05-14,282.0,284.0,275.05,283.65,110,EQ,9.0,12.22,109.0
2026-05-15,288.0,288.0,288.0,288.0,1,EQ,1.0,1.0,1.0
2026-05-19,288.0,288.0,285.0,285.0,3,EQ,2.0,1.5,3.0
2026-05-21,285.0,285.0,282.8,282.95,5,EQ,4.0,1.25,4.0
2026-05-29,323.95,323.95,271.3,276.35,357,EQ,45.0,7.93,82.0
2026-06-01,272.3,272.3,271.4,271.4,8,EQ,4.0,2.0,8.0
2026-06-02,299.95,299.95,299.0,299.0,6,EQ,2.0,3.0,6.0
2026-06-03,265.5,275.9,265.5,275.5,100,EQ,18.0,5.56,73.0
2026-06-04,271.3,280.0,271.3,279.9,19,EQ,3.0,6.33,18.0
2026-06-05,280.0,293.8,280.0,282.0,32,EQ,7.0,4.57,30.0
2026-06-08,282.0,295.95,282.0,290.9,172,EQ,23.0,7.48,169.0
2026-06-09,290.0,290.0,290.0,290.0,2,EQ,2.0,1.0,2.0
2026-06-11,282.0,282.0,282.0,282.0,4,EQ,2.0,2.0,4.0
2026-06-12,290.0,295.0,290.0,295.0,201,EQ,2.0,100.5,201.0
2026-06-15,300.0,308.0,295.0,302.0,187,EQ,17.0,11.0,167.0
2026-06-16,303.0,303.0,289.0,289.0,100,EQ,11.0,9.09,100.0
2026-06-17,295.0,295.0,290.0,292.5,89,EQ,7.0,12.71,89.0
2026-06-18,293.0,293.0,289.0,292.1,22,EQ,3.0,7.33,22.0
2026-06-19,304.0,304.0,304.0,304.0,1,EQ,1.0,1.0,1.0
2026-06-22,295.0,300.0,292.0,293.0,156,EQ,6.0,26.0,155.0
2026-06-23,293.0,298.0,293.0,298.0,2,EQ,2.0,1.0,1.0
2026-06-25,302.0,309.0,302.0,308.0,310,EQ,14.0,22.14,267.0
2026-06-29,308.0,323.0,307.0,315.4,540,EQ,47.0,11.49,528.0
2026-06-30,330.0,330.0,308.0,308.0,84,EQ,15.0,5.6,84.0
2026-07-01,308.0,308.0,302.05,302.25,308,EQ,8.0,38.5,308.0
2026-07-02,305.0,317.0,305.0,315.0,78,EQ,10.0,7.8,62.0
2026-07-03,316.55,320.0,303.0,305.2,215,EQ,22.0,9.77,191.0
2026-07-06,300.05,305.5,300.05,305.5,12,EQ,4.0,3.0,12.0
2026-07-08,305.5,308.95,301.0,301.0,480,EQ,10.0,48.0,479.0
2026-07-09,313.0,313.0,300.0,300.05,78,EQ,5.0,15.6,77.0
2026-07-10,315.0,315.0,300.0,300.0,235,EQ,5.0,47.0,232.0
2026-07-13,310.0,310.0,310.0,310.0,2,EQ,2.0,1.0,2.0
2026-07-14,312.0,312.0,310.0,310.0,11,EQ,3.0,3.67,11.0
2026-07-15,310.0,310.0,310.0,310.0,1,EQ,1.0,1.0,1.0
2026-07-16,300.0,300.0,300.0,300.0,221,EQ,5.0,44.2,221.0
2026-07-24,298.5,300.0,298.5,299.6,4,EQ,2.0,2.0,4.0
2026-07-27,299.6,299.6,299.6,299.6,18,EQ,2.0,9.0,18.0
2026-07-28,284.65,298.0,284.65,284.65,43,EQ,8.0,5.38,43.0
2026-07-29,298.0,298.85,280.3,285.35,271,EQ,44.0,6.16,126.0
2026-07-30,287.8,293.0,287.8,290.4,55,EQ,6.0,9.17,48.0
2026-07-31,286.0,294.0,286.0,290.25,23,EQ,7.0,3.29,10.0
2026-08-03,304.75,304.75,296.0,304.75,700,EQ,33.0,21.21,649.0
2026-08-04,310.85,312.15,310.8,312.0,135,EQ,6.0,22.5,135.0
2026-08-05,312.0,312.0,312.0,312.0,1,EQ,1.0,1.0,1.0
2026-08-06,312.9,327.6,301.0,316.1,1361,EQ,72.0,18.9,1137.0
2026-08-07,316.0,329.5,311.0,325.45,2276,EQ,44.0,51.73,623.0
2026-08-10,325.5,325.5,311.0,312.0,109,EQ,8.0,13.62,102.0
2026-08-11,328.0,328.0,313.05,313.05,33,EQ,4.0,8.25,32.0
2026-08-12,328.0,328.0,328.0,328.0,1,EQ,1.0,1.0,1.0
2026-08-13,325.0,325.0,325.0,325.0,6,EQ,2.0,3.0,6.0
2026-08-14,327.0,327.0,327.0,327.0,2,EQ,1.0,2.0,2.0
2026-08-17,315.0,315.0,310.3,310.3,4,EQ,3.0,1.33,4.0
2026-08-18,315.0,315.4,310.0,315.4,93,EQ,12.0,7.75,93.0
2026-08-19,319.0,326.95,319.0,323.6,2036,EQ,30.0,67.87,2034.0
2026-08-20,327.5,338.0,322.0,322.35,338,EQ,14.0,24.14,319.0
2026-08-21,322.35,333.95,322.0,328.0,219,EQ,11.0,19.91,208.0
2026-08-24,343.8,344.0,300.05,339.35,1510,EQ,71.0,21.27,1241.0
2026-08-25,337.0,337.0,320.0,320.25,72,EQ,3.0,24.0,72.0
2026-08-26,348.0,348.0,320.0,320.1,717,EQ,26.0,27.58,446.0
2026-08-27,333.0,333.0,318.0,332.0,8,EQ,6.0,1.33,5.0
2026-08-28,365.2,365.2,310.0,315.7,956,EQ,75.0,12.75,404.0
2026-08-31,315.7,323.8,286.5,318.55,321,EQ,20.0,16.05,320.0
2026-09-01,306.0,316.0,306.0,316.0,57,EQ,6.0,9.5,54.0
2026-09-02,313.95,313.95,303.0,303.0,12,EQ,5.0,2.4,12.0
2026-09-03,318.95,318.95,300.0,303.8,32,EQ,8.0,4.0,29.0
2026-09-04,325.0,325.0,315.0,319.35,12,EQ,8.0,1.5,11.0
2026-09-07,333.85,333.85,323.0,323.0,4,EQ,4.0,1.0,4.0
2026-09-08,322.9,322.9,305.0,320.0,3,EQ,3.0,1.0,2.0
2026-09-09,299.0,316.0,295.0,302.35,108,EQ,43.0,2.51,57.0
2026-09-10,308.4,331.0,300.0,325.2,274,EQ,35.0,7.83,270.0
2026-09-11,324.35,330.0,315.0,326.8,308,EQ,12.0,25.67,160.0
2026-09-15,325.1,338.0,320.7,322.7,605,EQ,26.0,23.27,549.0
2026-09-16,326.0,329.25,315.1,319.1,104,EQ,12,8.67,73
2026-09-18,314.1,319.0,314.1,319.0,52,EQ,2,26.0,52
