Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,125.0,125.0,114.8,114.8,192,EQ,4.0,48.0,192.0
2026-08-18,114.8,115.36,109.7,109.7,1038,EQ,198.0,5.24,1038.0
2026-08-19,111.9,111.9,111.9,111.9,100,EQ,100.0,1.0,100.0
2026-08-20,111.9,116.0,106.5,114.64,2666,EQ,28.0,95.21,2343.0
2026-08-21,120.0,120.37,109.0,116.17,5172,EQ,47.0,110.04,4292.0
2026-08-24,116.17,119.94,113.5,116.03,1872,EQ,81.0,23.11,1630.0
2026-08-25,120.0,120.0,111.99,112.35,868,EQ,16.0,54.25,866.0
2026-08-26,114.0,117.96,114.0,117.46,4067,EQ,57.0,71.35,4065.0
2026-08-27,117.49,117.49,117.49,117.49,102,EQ,3.0,34.0,102.0
2026-08-28,117.0,117.45,115.0,116.97,904,EQ,10.0,90.4,904.0
2026-08-31,117.55,122.81,117.0,118.66,4170,EQ,47.0,88.72,4158.0
2026-09-01,116.0,124.0,116.0,117.43,830,EQ,13.0,63.85,830.0
2026-09-02,114.26,119.89,114.25,117.48,326,EQ,8.0,40.75,325.0
2026-09-03,119.89,120.0,119.89,119.89,111,EQ,7.0,15.86,111.0
2026-09-04,119.89,119.89,116.01,116.11,103,EQ,4.0,25.75,101.0
2026-09-07,116.51,116.51,116.5,116.5,117,EQ,6.0,19.5,117.0
2026-09-08,116.01,118.5,116.0,116.01,5307,EQ,26.0,204.12,5202.0
2026-09-09,116.0,116.0,116.0,116.0,66,EQ,1.0,66.0,66.0
2026-09-10,115.99,115.99,115.99,115.99,25,EQ,1.0,25.0,25.0
2026-09-11,110.3,118.9,110.3,118.9,214,EQ,8.0,26.75,178.0
2026-09-15,113.0,117.99,113.0,113.51,312,EQ,6.0,52.0,311.0
2026-09-16,109.51,113.0,109.0,113.0,1049,EQ,17,61.71,1048
2026-09-17,113.0,113.0,113.0,113.0,3,EQ,2,1.5,3
2026-09-18,108.1,116.75,108.0,115.0,510,EQ,108,4.72,510
