Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-21,613.3,624.95,598.2,609.75,84848648,EQ,1647105.0,51.51,53266040.0
2026-07-22,609.0,609.0,583.0,584.7,15289956,EQ,352368.0,43.39,8115417.0
2026-07-23,581.25,599.7,575.75,577.4,11927109,EQ,230485.0,51.75,4926151.0
2026-07-24,577.4,589.4,572.0,587.3,6738164,EQ,136756.0,49.27,3829054.0
2026-07-27,590.0,594.35,581.0,583.2,4053030,EQ,87259.0,46.45,2307930.0
2026-07-28,584.0,586.3,574.3,576.35,3273086,EQ,68792.0,47.58,1765518.0
2026-07-29,578.0,579.5,573.2,576.05,2872496,EQ,76601.0,37.5,1626232.0
2026-07-30,576.05,579.9,565.05,570.2,3789220,EQ,100939.0,37.54,2138238.0
2026-07-31,573.0,591.75,571.8,589.15,5832289,EQ,118426.0,49.25,2741734.0
2026-08-03,591.0,592.9,583.2,588.05,2624696,EQ,49498.0,53.03,1488273.0
2026-08-04,585.0,588.0,568.75,569.7,4878368,EQ,106983.0,45.6,2691581.0
2026-08-05,574.0,575.25,571.1,573.95,1791008,EQ,40687.0,44.02,1060860.0
2026-08-06,576.0,577.95,565.5,568.95,2441610,EQ,57560.0,42.42,1370506.0
2026-08-07,569.0,572.9,565.55,571.75,1904705,EQ,38825.0,49.06,1149366.0
2026-08-10,571.75,573.2,567.1,570.65,1873654,EQ,41982.0,44.63,1172625.0
2026-08-11,570.25,571.9,567.1,568.45,1254557,EQ,46124.0,27.2,841219.0
2026-08-12,570.0,570.9,563.1,568.8,1734065,EQ,52166.0,33.24,1074987.0
2026-08-13,568.8,570.0,562.5,563.5,1066349,EQ,37119.0,28.73,667127.0
2026-08-14,563.0,563.5,555.5,559.1,1641085,EQ,53872.0,30.46,963892.0
2026-08-17,559.05,561.15,551.3,557.25,2666490,EQ,65809.0,40.52,1722655.0
2026-08-18,556.5,562.35,552.0,554.85,1616546,EQ,42268.0,38.25,974291.0
2026-08-19,555.2,558.1,550.2,553.95,2387572,EQ,57676.0,41.4,1467948.0
2026-08-20,557.0,563.0,552.25,555.5,2461681,EQ,62368.0,39.47,1350803.0
2026-08-21,555.5,556.55,548.05,549.55,1679042,EQ,43493.0,38.6,1064070.0
2026-08-24,550.0,551.0,540.0,541.4,1529867,EQ,45274.0,33.79,961625.0
2026-08-25,541.4,552.25,536.5,549.05,2151544,EQ,42756.0,50.32,1147160.0
2026-08-26,553.05,565.55,546.1,563.45,2482037,EQ,47911.0,51.81,1455760.0
2026-08-27,562.95,567.4,555.05,562.55,1745658,EQ,41807.0,41.76,1014927.0
2026-08-28,565.5,566.0,553.25,563.8,1785037,EQ,30275.0,58.96,1012868.0
2026-08-31,564.55,579.0,557.2,577.5,4691405,EQ,94500.0,49.64,2775487.0
2026-09-01,576.1,577.2,565.0,566.95,1866287,EQ,31676.0,58.92,1040516.0
2026-09-02,565.9,566.1,557.3,564.7,772367,EQ,25992.0,29.72,428863.0
2026-09-03,565.9,566.9,558.1,564.0,984775,EQ,25267.0,38.97,498856.0
2026-09-04,563.9,565.5,558.9,562.1,1143214,EQ,26282.0,43.5,704723.0
2026-09-07,561.0,561.3,555.05,557.8,891727,EQ,26050.0,34.23,587258.0
2026-09-08,557.8,558.5,553.05,555.7,466279,EQ,15727.0,29.65,243703.0
2026-09-09,553.7,557.0,550.0,552.65,653948,EQ,18674.0,35.02,389176.0
2026-09-10,551.0,555.8,550.05,551.0,591646,EQ,18429.0,32.1,306033.0
2026-09-11,550.0,550.0,543.15,544.3,756177,EQ,25853.0,29.25,415935.0
2026-09-15,545.8,549.0,533.1,536.5,1079997,EQ,74142.0,14.57,602314.0
2026-09-16,537.0,537.5,525.3,530.1,941906,EQ,46000,20.48,518239
2026-09-17,530.0,542.3,528.25,540.95,1328674,EQ,41494,32.02,652104
2026-09-18,540.95,567.95,537.25,561.35,1779360,EQ,33217,53.57,1176269
