Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-25,17.02,17.04,16.88,16.98,38262,EQ,88.0,434.8,28731.0
2026-05-26,17.4,17.4,17.0,17.11,105015,EQ,112.0,937.63,89303.0
2026-05-27,17.19,17.5,17.01,17.06,43902,EQ,134.0,327.63,33105.0
2026-05-29,17.4,17.5,16.94,17.01,142466,EQ,143.0,996.27,132562.0
2026-06-01,17.09,17.47,16.77,16.87,50657,EQ,182.0,278.34,46510.0
2026-06-02,16.87,17.27,16.69,17.03,62669,EQ,113.0,554.59,38742.0
2026-06-03,17.11,17.31,16.71,17.13,16652,EQ,96.0,173.46,11345.0
2026-06-04,17.33,17.33,16.96,17.07,10267,EQ,98.0,104.77,7615.0
2026-06-05,17.02,17.41,16.97,17.01,15174,EQ,99.0,153.27,9370.0
2026-06-08,17.26,17.26,16.55,16.76,106976,EQ,213.0,502.23,55072.0
2026-06-09,16.84,17.17,16.79,16.9,12519,EQ,75.0,166.92,7244.0
2026-06-10,16.9,17.04,16.81,16.81,74304,EQ,75.0,990.72,74279.0
2026-06-11,16.81,17.2,16.53,16.6,46569,EQ,130.0,358.22,35815.0
2026-06-12,16.68,17.2,16.64,17.09,13424,EQ,64.0,209.75,8088.0
2026-06-15,17.27,17.7,17.09,17.28,83844,EQ,191.0,438.97,36592.0
2026-06-16,17.62,17.77,17.3,17.32,43387,EQ,119.0,364.6,25827.0
2026-06-17,17.4,17.67,17.23,17.48,78804,EQ,131.0,601.56,35619.0
2026-06-18,17.65,17.82,17.48,17.65,50913,EQ,84.0,606.11,42825.0
2026-06-19,17.82,17.85,17.42,17.73,18207,EQ,99.0,183.91,15253.0
2026-06-22,18.17,18.17,17.73,17.89,135733,EQ,155.0,875.7,130871.0
2026-06-23,17.97,17.98,17.7,17.79,35719,EQ,131.0,272.66,33800.0
2026-06-24,17.45,18.9,17.45,17.91,101554,EQ,153.0,663.75,52190.0
2026-06-25,17.5,18.37,17.5,17.67,247173,EQ,1371.0,180.29,93688.0
2026-06-29,17.89,18.0,17.55,17.77,103494,EQ,294.0,352.02,94432.0
2026-06-30,18.07,18.07,17.55,17.76,95987,EQ,189.0,507.87,60777.0
2026-07-01,17.99,17.99,17.72,17.81,28963,EQ,153,189.3,22154
2026-07-02,17.99,18.04,17.76,17.97,30620,EQ,129,237.36,22744
2026-07-03,18.23,18.3,17.89,17.93,43936,EQ,204,215.37,25107
2026-07-06,17.96,18.26,17.93,18.05,62100,EQ,308,201.62,25748
2026-07-07,18.25,18.3,17.9,18.0,52140,EQ,178,292.92,44757
2026-07-08,18.18,18.22,17.45,17.63,102385,EQ,194,527.76,62940
2026-07-09,17.88,18.06,17.63,17.91,29889,EQ,110,271.72,28350
2026-07-10,18.18,18.18,17.91,18.1,58528,EQ,167,350.47,34403
