Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,122.5,122.5,115.0,117.61,12310,EQ,93.0,132.37,8066.0
2026-08-18,118.2,124.65,117.1,121.66,43443,EQ,540.0,80.45,21725.0
2026-08-19,123.7,124.18,119.01,119.69,14877,EQ,594.0,25.05,8426.0
2026-08-20,119.85,122.96,118.26,119.05,16757,EQ,244.0,68.68,11351.0
2026-08-21,119.05,120.55,118.25,118.71,14339,EQ,210.0,68.28,8768.0
2026-08-24,122.9,122.9,118.0,118.4,12639,EQ,169.0,74.79,8618.0
2026-08-25,118.01,119.49,117.0,117.07,12340,EQ,154.0,80.13,9366.0
2026-08-26,116.3,117.99,116.3,117.04,21750,EQ,241.0,90.25,18269.0
2026-08-27,117.62,117.62,116.1,116.78,23587,EQ,222.0,106.25,15731.0
2026-08-28,116.77,117.0,115.0,115.43,19600,EQ,240.0,81.67,14277.0
2026-08-31,115.43,118.01,114.01,114.45,21054,EQ,440.0,47.85,16388.0
2026-09-01,117.99,118.19,114.47,116.59,27223,EQ,379.0,71.83,17676.0
2026-09-02,117.99,119.0,113.21,113.7,15293,EQ,268.0,57.06,13126.0
2026-09-03,117.6,117.6,113.98,114.67,50859,EQ,505.0,100.71,29606.0
2026-09-04,113.95,116.0,113.95,114.56,31358,EQ,368.0,85.21,24627.0
2026-09-07,114.56,115.0,114.01,114.16,27540,EQ,336.0,81.96,18436.0
2026-09-08,114.7,114.84,112.7,113.19,28488,EQ,322.0,88.47,21430.0
2026-09-09,113.8,114.19,110.25,111.7,29556,EQ,441.0,67.02,20935.0
2026-09-10,112.82,113.17,111.42,112.43,20279,EQ,284.0,71.4,15879.0
2026-09-11,111.2,115.0,108.96,110.34,50303,EQ,669.0,75.19,34518.0
2026-09-15,110.35,112.16,105.05,106.86,52685,EQ,1009.0,52.22,33248.0
2026-09-16,108.0,108.9,106.0,107.25,17097,EQ,402,42.53,12574
2026-09-17,107.0,109.99,107.0,108.72,14502,EQ,276,52.54,10877
2026-09-18,109.99,114.0,108.39,113.44,52095,EQ,848,61.43,36786
