Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,2.73,2.74,2.49,2.59,27639,EQ,64.0,431.86,21415.0
2026-08-18,2.59,2.65,2.47,2.47,17830,EQ,77.0,231.56,16471.0
2026-08-19,2.48,2.57,2.35,2.4,49039,EQ,135.0,363.25,45203.0
2026-08-20,2.4,2.51,2.28,2.45,46364,EQ,114.0,406.7,30399.0
2026-08-21,2.44,2.51,2.36,2.45,18584,EQ,100.0,185.84,13315.0
2026-08-24,2.53,2.56,2.33,2.49,37147,EQ,92.0,403.77,30063.0
2026-08-25,2.49,2.59,2.4,2.5,37372,EQ,75.0,498.29,23527.0
2026-08-26,2.57,2.57,2.38,2.38,71015,EQ,109.0,651.51,51905.0
2026-08-27,2.4,2.44,2.28,2.32,24319,EQ,88.0,276.35,21716.0
2026-08-28,2.3,2.43,2.3,2.42,88832,EQ,126.0,705.02,68695.0
2026-08-31,2.54,2.54,2.3,2.38,54234,EQ,143.0,379.26,39300.0
2026-09-01,2.48,2.48,2.29,2.42,57635,EQ,98.0,588.11,26693.0
2026-09-02,2.42,2.43,2.31,2.33,12072,EQ,44.0,274.36,11228.0
2026-09-03,2.33,2.44,2.27,2.39,55677,EQ,140.0,397.69,31237.0
2026-09-04,2.5,2.5,2.32,2.41,58369,EQ,131.0,445.56,39848.0
2026-09-07,2.47,2.53,2.32,2.5,42931,EQ,110.0,390.28,20394.0
2026-09-08,2.62,2.62,2.4,2.52,36452,EQ,115.0,316.97,25780.0
2026-09-09,2.53,2.58,2.4,2.47,49785,EQ,82.0,607.13,40080.0
2026-09-10,2.52,2.52,2.35,2.36,63379,EQ,108.0,586.84,44345.0
2026-09-11,2.45,2.45,2.31,2.44,37017,EQ,93.0,398.03,18239.0
2026-09-15,2.55,2.55,2.32,2.35,31022,EQ,150.0,206.81,25167.0
2026-09-16,2.4,2.46,2.33,2.44,14193,EQ,78,181.96,8819
2026-09-17,2.49,2.53,2.35,2.49,53314,EQ,72,740.47,17971
2026-09-18,2.49,2.6,2.37,2.43,279185,EQ,154,1812.89,224078
