Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,495.0,559.5,477.05,537.0,8402,EQ,383.0,21.94,6410.0
2026-08-18,512.0,542.0,512.0,524.2,7976,EQ,337.0,23.67,5380.0
2026-08-19,524.4,532.1,512.0,518.35,3846,EQ,250.0,15.38,2477.0
2026-08-20,521.05,525.5,493.5,501.05,7823,EQ,562.0,13.92,5593.0
2026-08-21,500.0,513.0,490.0,507.6,6242,EQ,367.0,17.01,4122.0
2026-08-24,529.65,529.65,506.85,519.05,1918,EQ,187.0,10.26,1458.0
2026-08-25,533.95,534.0,500.3,507.1,6538,EQ,375.0,17.43,4815.0
2026-08-26,508.05,520.0,508.0,513.05,6213,EQ,253.0,24.56,5006.0
2026-08-27,519.7,524.9,510.0,516.7,3407,EQ,222.0,15.35,2252.0
2026-08-28,519.35,589.75,519.05,542.6,6293,EQ,359.0,17.53,4855.0
2026-08-31,639.75,651.1,588.95,606.7,143393,EQ,5384.0,26.63,79591.0
2026-09-01,610.45,700.05,610.45,684.35,131593,EQ,7012.0,18.77,70227.0
2026-09-02,661.6,697.95,661.6,685.65,29477,EQ,2118.0,13.92,15660.0
2026-09-03,678.0,699.95,678.0,684.1,21215,EQ,702.0,30.22,17157.0
2026-09-04,684.0,717.0,684.0,708.55,22022,EQ,1184.0,18.6,15451.0
2026-09-07,700.0,717.0,698.35,714.2,9913,EQ,552.0,17.96,7354.0
2026-09-08,715.0,722.0,685.0,696.0,14245,EQ,864.0,16.49,8142.0
2026-09-09,702.95,708.0,653.5,665.9,15678,EQ,967.0,16.21,11471.0
2026-09-10,669.25,669.25,620.0,631.65,42088,EQ,1680.0,25.05,26777.0
2026-09-11,633.95,661.95,620.0,659.2,18758,EQ,1134.0,16.54,11012.0
2026-09-15,670.0,699.2,646.6,657.6,15689,EQ,1090.0,14.39,10152.0
2026-09-16,663.8,665.95,630.0,648.65,14381,EQ,1059,13.58,7216
2026-09-17,654.8,679.0,638.85,678.2,6805,EQ,638,10.67,4205
2026-09-18,677.95,722.65,675.0,697.75,18488,EQ,1406,13.15,11268
