Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-25,103.3,111.0,94.0,94.82,95704155,EQ,327346.0,292.36,26912264.0
2026-08-26,98.0,101.59,93.01,93.74,15917470,EQ,61706.0,257.96,3220431.0
2026-08-27,93.9,93.99,89.01,89.69,4656197,EQ,23151.0,201.12,1340359.0
2026-08-28,89.69,92.56,87.25,91.73,4645174,EQ,26252.0,176.95,919857.0
2026-08-31,91.5,94.0,89.32,93.22,4454088,EQ,21420.0,207.94,1478138.0
2026-09-01,93.01,96.6,90.35,91.77,5213503,EQ,26228.0,198.78,1256630.0
2026-09-02,91.1,98.72,90.11,97.95,9301184,EQ,49300.0,188.66,2393322.0
2026-09-03,98.0,99.36,95.7,97.4,4660673,EQ,23975.0,194.4,1386690.0
2026-09-04,97.35,103.45,97.0,98.92,8474688,EQ,48883.0,173.37,2050499.0
2026-09-07,100.09,106.85,99.8,102.37,10083730,EQ,53885.0,187.13,1973727.0
2026-09-08,103.5,106.7,93.22,94.89,10007242,EQ,52936.0,189.04,2978819.0
2026-09-09,95.58,99.0,95.13,97.93,3732363,EQ,23819.0,156.7,835526.0
2026-09-10,98.49,101.0,97.3,98.41,3637976,EQ,21057.0,172.77,1356972.0
2026-09-11,104.4,115.9,100.0,101.3,53876821,EQ,281997.0,191.05,8923311.0
2026-09-15,103.49,104.19,92.22,94.35,5763565,EQ,35085.0,164.27,1747005.0
2026-09-16,95.96,95.99,87.31,89.55,5412485,EQ,35896,150.78,1441113
2026-09-17,90.33,91.58,88.5,88.96,1886550,EQ,14174,133.1,506183
2026-09-18,90.7,95.25,89.01,93.06,4370436,EQ,27312,160.02,865199
