Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,300.05,352.0,300.05,348.1,226,EQ,13.0,17.38,216.0
2026-08-18,302.3,336.95,302.3,307.55,229,EQ,35.0,6.54,207.0
2026-08-19,367.4,367.4,338.0,342.15,4397,EQ,268.0,16.41,2431.0
2026-08-20,338.0,349.95,338.0,349.95,34,EQ,8.0,4.25,32.0
2026-08-21,340.0,340.0,319.55,321.15,421,EQ,28.0,15.04,151.0
2026-08-24,320.5,348.8,311.5,344.5,43,EQ,7.0,6.14,30.0
2026-08-25,344.5,344.5,303.35,312.05,227,EQ,20.0,11.35,202.0
2026-08-26,358.0,358.0,315.55,321.15,1420,EQ,102.0,13.92,509.0
2026-08-27,325.0,325.0,321.0,321.45,54,EQ,9.0,6.0,54.0
2026-08-28,319.0,319.0,306.0,306.5,219,EQ,44.0,4.98,219.0
2026-09-01,307.2,307.2,307.2,307.2,2,EQ,2.0,1.0,2.0
2026-09-02,307.2,346.15,307.2,342.75,58,EQ,8.0,7.25,58.0
2026-09-03,342.75,342.75,310.0,315.05,282,EQ,43.0,6.56,187.0
2026-09-04,316.0,319.95,315.05,315.1,78,EQ,7.0,11.14,77.0
2026-09-07,316.0,316.0,305.05,305.15,349,EQ,9.0,38.78,335.0
2026-09-08,325.0,325.15,324.1,324.9,27,EQ,5.0,5.4,17.0
2026-09-09,305.0,324.85,305.0,310.35,6,EQ,5.0,1.2,4.0
2026-09-10,312.0,312.0,305.0,311.0,15,EQ,8.0,1.88,11.0
2026-09-11,326.0,360.0,309.0,348.85,3811,EQ,317.0,12.02,2474.0
2026-09-15,350.55,374.0,342.0,349.5,382,EQ,52.0,7.35,298.0
2026-09-16,350.1,350.1,332.0,332.0,33,EQ,18,1.83,32
2026-09-18,360.0,360.0,349.95,352.5,54,EQ,9,6.0,52
