Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,157.8,160.0,157.8,158.0,1010,EQ,4.0,252.5,1010.0
2026-08-18,164.0,164.0,158.12,161.89,1506,EQ,16.0,94.12,1306.0
2026-08-19,165.13,179.7,165.0,169.49,9565,EQ,154.0,62.11,7586.0
2026-08-20,175.0,175.0,158.6,162.51,9977,EQ,189.0,52.79,7327.0
2026-08-21,171.26,171.26,164.0,166.5,355,EQ,15.0,23.67,350.0
2026-08-24,166.25,169.0,162.5,164.38,630,EQ,25.0,25.2,576.0
2026-08-25,175.0,175.0,162.5,163.34,3913,EQ,59.0,66.32,3547.0
2026-08-26,169.75,169.75,162.0,169.39,1399,EQ,67.0,20.88,1276.0
2026-08-27,169.39,169.4,165.05,169.0,725,EQ,30.0,24.17,701.0
2026-08-28,165.0,172.2,163.0,170.07,1773,EQ,17.0,104.29,1744.0
2026-08-31,170.07,171.0,152.5,155.87,13125,EQ,184.0,71.33,11401.0
2026-09-01,155.0,160.0,148.0,153.72,6903,EQ,190.0,36.33,4932.0
2026-09-02,153.0,155.9,151.5,155.12,1033,EQ,24.0,43.04,933.0
2026-09-03,155.1,155.1,148.1,150.42,7871,EQ,150.0,52.47,6272.0
2026-09-04,149.42,151.0,143.0,144.8,9295,EQ,225.0,41.31,7090.0
2026-09-07,148.0,152.95,147.5,150.25,1004,EQ,31.0,32.39,866.0
2026-09-08,151.95,156.0,149.0,150.21,4455,EQ,78.0,57.12,4015.0
2026-09-09,151.0,153.0,151.0,151.61,826,EQ,15.0,55.07,695.0
2026-09-10,153.8,177.38,153.8,168.4,93780,EQ,1516.0,61.86,29419.0
2026-09-11,168.4,172.65,163.0,163.94,5074,EQ,134.0,37.87,3598.0
2026-09-15,164.0,168.9,158.0,159.62,3504,EQ,88.0,39.82,2838.0
2026-09-16,163.25,163.25,153.05,154.88,811,EQ,59,13.75,641
2026-09-17,155.02,162.99,155.0,158.0,1172,EQ,34,34.47,932
2026-09-18,160.0,162.99,154.5,154.69,2494,EQ,63,39.59,2243
