Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-19,131.0,156.0,131.0,143.45,224002350,EQ,875736.0,255.79,77275952.0
2026-08-20,149.9,156.9,137.86,141.65,110197387,EQ,459884.0,239.62,15748765.0
2026-08-21,139.0,146.22,136.65,140.81,63801190,EQ,271918.0,234.63,8282963.0
2026-08-24,140.9,142.6,132.4,134.67,23136866,EQ,108377.0,213.49,5441283.0
2026-08-25,135.4,138.11,131.15,132.77,11939062,EQ,78132.0,152.81,2465206.0
2026-08-26,133.6,136.99,129.36,132.5,19968553,EQ,91943.0,217.18,3333984.0
2026-08-27,133.2,134.4,130.3,132.09,6410001,EQ,39223.0,163.42,2085635.0
2026-08-28,132.1,132.3,124.0,125.4,12606030,EQ,61741.0,204.18,3471451.0
2026-08-31,124.74,141.99,124.05,138.89,55899452,EQ,265736.0,210.36,7130981.0
2026-09-01,140.49,143.22,132.33,134.25,11319607,EQ,52209.0,216.81,1771644.0
2026-09-02,134.8,137.77,131.7,133.82,7254180,EQ,39048.0,185.78,956481.0
2026-09-03,134.51,139.5,132.6,135.89,11756152,EQ,72437.0,162.29,1914539.0
2026-09-04,137.19,138.2,134.21,135.92,4989875,EQ,27339.0,182.52,1144889.0
2026-09-07,135.92,141.9,132.52,135.21,9262559,EQ,48150.0,192.37,1828089.0
2026-09-08,139.5,144.5,132.61,134.77,29791766,EQ,142177.0,209.54,3213232.0
2026-09-09,134.78,136.0,131.23,132.37,4190927,EQ,23870.0,175.57,894034.0
2026-09-10,132.6,133.34,128.5,129.17,2568729,EQ,19641.0,130.78,834398.0
2026-09-11,129.0,135.42,126.13,133.99,8823294,EQ,59263.0,148.88,1378799.0
2026-09-15,134.39,134.39,125.85,127.82,2797182,EQ,23643.0,118.31,788635.0
2026-09-16,126.95,128.33,120.31,123.66,9635180,EQ,80666,119.45,3880728
2026-09-17,123.66,125.98,120.0,120.93,4468956,EQ,37029,120.69,1769767
2026-09-18,122.2,122.93,120.5,121.59,2264860,EQ,16969,133.47,634849
