Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,37.2,38.3,37.0,38.3,485,EQ,5.0,97.0,470.0
2026-08-18,45.9,45.9,37.01,40.18,6782,EQ,240.0,28.26,4814.0
2026-08-19,41.0,42.0,39.0,40.39,13862,EQ,83.0,167.01,12926.0
2026-08-20,41.0,43.3,40.35,41.82,4493,EQ,40.0,112.32,4485.0
2026-08-21,39.0,42.0,39.0,39.4,284,EQ,12.0,23.67,282.0
2026-08-24,41.99,44.4,38.65,42.76,18088,EQ,130.0,139.14,16168.0
2026-08-25,43.0,43.0,39.2,41.48,5097,EQ,80.0,63.71,3345.0
2026-08-26,42.99,42.99,41.0,42.17,1004,EQ,34.0,29.53,1004.0
2026-08-27,40.65,42.5,40.02,40.74,441,EQ,32.0,13.78,256.0
2026-08-28,40.7,41.9,39.21,41.72,2027,EQ,40.0,50.68,1698.0
2026-08-31,43.98,43.98,42.0,42.5,990,EQ,10.0,99.0,981.0
2026-09-01,39.15,42.39,39.15,40.84,4275,EQ,38.0,112.5,3636.0
2026-09-02,39.7,40.97,37.0,40.8,1056,EQ,17.0,62.12,1011.0
2026-09-03,40.98,42.94,40.0,42.9,559,EQ,13.0,43.0,555.0
2026-09-04,41.7,41.7,40.25,41.39,4883,EQ,24.0,203.46,4865.0
2026-09-07,43.44,45.0,38.0,41.41,24597,EQ,266.0,92.47,16714.0
2026-09-08,45.0,45.0,40.12,42.96,6565,EQ,120.0,54.71,5881.0
2026-09-09,43.05,43.05,40.6,41.99,1176,EQ,24.0,49.0,1169.0
2026-09-10,42.0,42.0,39.5,40.32,1492,EQ,22.0,67.82,1387.0
2026-09-11,40.32,40.88,39.0,39.69,5721,EQ,46.0,124.37,5292.0
2026-09-15,40.0,40.0,37.6,37.9,1547,EQ,42.0,36.83,1543.0
2026-09-16,37.72,41.0,36.5,39.89,1518,EQ,88,17.25,1169
2026-09-17,39.88,39.89,38.0,38.71,130,EQ,15,8.67,130
2026-09-18,39.89,42.0,37.16,41.79,861,EQ,36,23.92,826
