Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,17.94,17.94,16.01,17.21,29464,EQ,77.0,382.65,28302.0
2026-08-18,17.15,17.15,16.55,16.8,34643,EQ,106.0,326.82,31610.0
2026-08-19,17.05,17.05,16.66,16.97,13981,EQ,1466.0,9.54,13333.0
2026-08-20,16.71,17.0,16.55,16.68,73171,EQ,174.0,420.52,61371.0
2026-08-21,16.75,16.98,16.5,16.67,73715,EQ,166.0,444.07,60633.0
2026-08-24,16.7,17.05,16.51,16.98,65125,EQ,373.0,174.6,58927.0
2026-08-25,17.14,17.14,16.6,16.66,37597,EQ,312.0,120.5,35714.0
2026-08-26,16.46,16.94,15.55,16.58,73128,EQ,236.0,309.86,59043.0
2026-08-27,16.87,16.87,16.31,16.55,21023,EQ,147.0,143.01,18654.0
2026-08-28,16.55,16.93,16.25,16.61,47261,EQ,162.0,291.73,39742.0
2026-08-31,16.79,16.79,16.0,16.12,84227,EQ,453.0,185.93,66238.0
2026-09-01,16.12,16.44,16.0,16.04,42593,EQ,210.0,202.82,35888.0
2026-09-02,16.39,16.39,15.62,15.99,41292,EQ,172.0,240.07,36754.0
2026-09-03,15.99,16.4,15.7,15.7,55110,EQ,304.0,181.28,42135.0
2026-09-04,16.09,16.89,15.4,15.97,55679,EQ,302.0,184.37,39248.0
2026-09-07,16.47,16.5,15.56,16.07,58521,EQ,191.0,306.39,51650.0
2026-09-08,16.07,16.2,15.9,16.12,57311,EQ,151.0,379.54,54986.0
2026-09-09,16.12,16.12,15.8,15.89,45230,EQ,180.0,251.28,37035.0
2026-09-10,15.52,16.3,15.52,16.04,46357,EQ,198.0,234.13,42557.0
2026-09-11,16.04,16.5,15.0,15.95,117344,EQ,480.0,244.47,80491.0
2026-09-15,16.29,16.29,15.6,15.89,43700,EQ,286.0,152.8,34071.0
2026-09-16,15.61,16.02,15.3,15.5,89358,EQ,407,219.55,72591
2026-09-17,15.67,15.79,15.01,15.3,41715,EQ,348,119.87,33690
2026-09-18,15.49,15.69,15.3,15.45,35784,EQ,373,95.94,29110
