Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,158.0,162.0,150.0,150.71,735,EQ,22.0,33.41,713.0
2026-08-18,164.95,165.0,153.5,155.0,3737,EQ,96.0,38.93,3028.0
2026-08-19,155.0,156.0,148.55,154.14,2740,EQ,70.0,39.14,2440.0
2026-08-20,158.7,158.7,150.5,155.82,2012,EQ,48.0,41.92,1692.0
2026-08-21,154.0,161.0,151.6,154.21,1226,EQ,59.0,20.78,1106.0
2026-08-24,179.0,179.0,152.0,153.14,2731,EQ,93.0,29.37,2446.0
2026-08-25,159.9,159.9,149.0,149.68,571,EQ,36.0,15.86,504.0
2026-08-26,152.69,153.99,142.0,146.36,8439,EQ,171.0,49.35,6573.0
2026-08-27,145.0,153.95,145.0,151.27,7787,EQ,137.0,56.84,6649.0
2026-08-28,150.27,165.99,149.27,162.9,37275,EQ,580.0,64.27,20239.0
2026-08-31,164.0,167.99,161.5,165.82,19969,EQ,359.0,55.62,15818.0
2026-09-01,165.5,165.5,157.65,160.72,9552,EQ,454.0,21.04,6737.0
2026-09-02,164.0,164.0,153.96,157.89,4640,EQ,126.0,36.83,4030.0
2026-09-03,162.98,164.0,150.02,152.78,8688,EQ,274.0,31.71,6141.0
2026-09-04,157.49,159.8,153.21,156.48,3120,EQ,131.0,23.82,2108.0
2026-09-07,161.5,161.5,151.05,154.92,3018,EQ,95.0,31.77,2493.0
2026-09-08,158.7,158.7,151.14,154.75,2821,EQ,95.0,29.69,1910.0
2026-09-09,153.98,156.4,148.0,151.05,5567,EQ,157.0,35.46,3273.0
2026-09-10,155.11,155.11,142.2,150.02,9404,EQ,179.0,52.54,2841.0
2026-09-11,150.0,154.85,148.0,152.67,5140,EQ,126.0,40.79,3623.0
2026-09-15,151.0,154.53,148.1,151.89,7567,EQ,65.0,116.42,6898.0
2026-09-16,156.5,156.5,144.53,152.97,3646,EQ,65,56.09,2837
2026-09-17,154.45,154.45,146.11,150.73,5141,EQ,80,64.26,4125
2026-09-18,150.73,153.7,146.7,147.14,11255,EQ,179,62.88,8677
