Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-14,42.04,43.4,40.06,41.42,1113804,EQ,7701.0,144.63,429248.0
2026-08-17,44.39,44.39,41.4,41.44,1136748,EQ,4686.0,242.58,809724.0
2026-08-18,42.48,42.78,41.51,41.55,1250990,EQ,2294.0,545.33,784281.0
2026-08-19,42.0,43.14,41.51,42.67,889499,EQ,2662.0,334.15,389012.0
2026-08-20,43.73,45.78,42.89,43.33,416182,EQ,2733.0,152.28,261899.0
2026-08-21,44.02,44.5,42.6,44.06,1048348,EQ,2619.0,400.29,576925.0
2026-08-24,45.25,45.25,44.04,44.07,694253,EQ,2189.0,317.16,492779.0
2026-08-25,44.07,44.94,44.07,44.08,1374828,EQ,2117.0,649.42,814519.0
2026-08-26,44.09,46.16,44.09,44.18,2435650,EQ,4042.0,602.59,1210863.0
2026-08-27,44.9,45.34,44.2,44.22,1003469,EQ,2249.0,446.18,664961.0
2026-08-28,44.25,45.33,44.25,44.28,901483,EQ,1723.0,523.21,486648.0
2026-08-31,46.99,46.99,44.29,44.39,1624555,EQ,3278.0,495.59,674540.0
2026-09-01,44.54,46.4,44.34,44.43,1832377,EQ,3463.0,529.13,1283898.0
2026-09-02,44.52,47.24,44.52,46.79,2933344,EQ,7002.0,418.93,1254346.0
2026-09-03,47.37,54.9,47.1,51.93,8949935,EQ,29534.0,303.04,3197485.0
2026-09-04,53.39,55.54,51.66,51.93,4036493,EQ,13652.0,295.67,1533308.0
2026-09-07,51.93,53.59,51.93,53.07,1887833,EQ,7414.0,254.63,985795.0
2026-09-08,53.37,56.0,52.21,54.11,6791172,EQ,25505.0,266.27,1353754.0
2026-09-09,54.98,57.44,54.17,56.1,2827806,EQ,8830.0,320.25,1639126.0
2026-09-10,57.69,58.2,53.91,53.97,4087812,EQ,10346.0,395.11,2249921.0
2026-09-11,54.05,55.6,53.75,53.94,1577298,EQ,5434.0,290.26,745976.0
2026-09-15,54.06,56.2,54.06,55.27,2366428,EQ,7424.0,318.75,954941.0
2026-09-16,56.25,56.25,52.33,54.6,2286024,EQ,9088,251.54,741552
2026-09-17,54.58,55.79,54.06,54.24,2008697,EQ,6766,296.88,761499
2026-09-18,54.76,57.89,54.29,55.93,3423614,EQ,9607,356.37,1211809
