Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,30.0,35.07,30.0,35.07,22045,EQ,427.0,51.63,14478.0
2026-08-18,38.57,38.57,38.57,38.57,4840,EQ,93.0,52.04,4747.0
2026-08-19,42.42,42.42,39.39,42.42,20184,EQ,145.0,139.2,17974.0
2026-08-20,44.54,44.54,40.3,40.3,8968,EQ,133.0,67.43,7725.0
2026-08-21,38.29,40.3,38.29,38.29,7981,EQ,78.0,102.32,7523.0
2026-08-24,37.98,37.98,36.38,36.38,705,EQ,32.0,22.03,702.0
2026-08-25,34.57,34.57,34.57,34.57,360,EQ,16.0,22.5,360.0
2026-08-26,34.45,34.45,32.85,32.85,3833,EQ,37.0,103.59,2352.0
2026-08-27,34.49,34.49,34.0,34.49,2288,EQ,28.0,81.71,2051.0
2026-08-28,36.21,36.21,32.77,32.78,5545,EQ,33.0,168.03,3876.0
2026-08-31,32.78,32.78,31.15,32.31,2373,EQ,31.0,76.55,1816.0
2026-09-01,32.31,32.5,31.17,32.5,652,EQ,16.0,40.75,540.0
2026-09-02,33.31,33.31,30.9,32.5,423,EQ,14.0,30.21,391.0
2026-09-03,30.88,32.98,30.88,30.89,3436,EQ,30.0,114.53,2278.0
2026-09-04,32.0,32.0,30.88,31.9,748,EQ,10.0,74.8,748.0
2026-09-07,31.9,32.99,30.42,30.79,121,EQ,11.0,11.0,105.0
2026-09-08,30.94,30.94,29.3,30.2,1617,EQ,30.0,53.9,1487.0
2026-09-09,29.55,29.55,29.34,29.35,346,EQ,24.0,14.42,346.0
2026-09-10,29.0,29.35,29.0,29.35,379,EQ,6.0,63.17,379.0
2026-09-11,29.35,30.0,28.1,30.0,169,EQ,8.0,21.12,168.0
2026-09-15,30.5,31.5,28.51,31.5,510,EQ,20.0,25.5,507.0
2026-09-16,32.98,32.98,31.5,31.5,60,EQ,4,15.0,55
2026-09-18,30.08,33.07,30.0,30.0,233,EQ,10,23.3,222
