Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-12-14,69.9,69.9,66.5,68.0,1642,EQ,14.0,117.29,1101.0
2022-12-15,67.5,67.5,66.0,66.7,6911,EQ,32.0,215.97,4811.0
2022-12-16,66.99,67.01,65.21,65.49,10874,EQ,71.0,153.15,6853.0
2022-12-19,66.1,66.99,66.1,66.27,11931,EQ,51.0,233.94,8667.0
2022-12-20,66.4,68.0,65.2,67.69,71127,EQ,81.0,878.11,68441.0
2022-12-21,67.69,68.45,67.61,68.38,8198,EQ,34.0,241.12,6321.0
2022-12-22,68.39,68.39,67.6,67.64,3680,EQ,32.0,115.0,2726.0
2022-12-23,67.89,67.89,66.4,66.68,5249,EQ,34.0,154.38,3965.0
2022-12-26,66.99,67.75,66.75,67.66,2359,EQ,27.0,87.37,1415.0
2022-12-27,67.1,68.75,67.1,68.26,4645,EQ,24.0,193.54,3754.0
2022-12-28,68.39,68.39,67.06,67.29,2903,EQ,32.0,90.72,1468.0
2022-12-29,67.0,81.0,66.6,81.0,10435,EQ,14.0,745.36,10285.0
2022-12-30,81.0,81.0,67.59,67.8,24955,EQ,278.0,89.77,5966.0
2023-01-02,68.58,68.58,67.8,68.25,26921,EQ,55.0,489.47,25826.0
2023-01-03,68.25,74.4,68.25,69.2,30354,EQ,82.0,370.17,27145.0
2023-01-04,58.0,69.98,58.0,69.3,11687,EQ,81.0,144.28,7668.0
2023-01-05,68.97,68.97,67.2,67.5,20889,EQ,94.0,222.22,9404.0
2023-01-06,68.48,68.48,67.61,67.85,3253,EQ,20.0,162.65,2940.0
2023-01-09,68.01,69.0,68.01,68.99,2563,EQ,38.0,67.45,2135.0
2023-01-10,68.8,68.8,67.4,67.9,2348,EQ,34.0,69.06,2118.0
2023-01-11,67.9,68.98,67.9,68.52,439,EQ,20.0,21.95,397.0
2023-01-12,68.2,68.2,67.52,68.1,5252,EQ,29.0,181.1,5225.0
2023-01-13,68.0,68.8,67.81,68.23,9352,EQ,33.0,283.39,8787.0
2023-01-16,70.27,70.27,68.2,68.92,3045,EQ,59.0,51.61,1215.0
2023-01-17,68.91,69.0,68.52,68.72,3134,EQ,28.0,111.93,1292.0
2023-01-18,68.6,69.0,68.21,68.3,3231,EQ,29.0,111.41,1070.0
2023-01-19,68.3,68.3,67.01,67.36,4064,EQ,53.0,76.68,1750.0
2023-01-20,67.81,68.39,67.8,68.29,6440,EQ,39.0,165.13,4998.0
2023-01-23,68.51,68.51,67.4,67.52,1496,EQ,44.0,34.0,568.0
2023-01-24,67.9,67.9,66.4,67.28,1361,EQ,30.0,45.37,730.0
2023-01-25,67.2,67.8,67.2,67.6,1283,EQ,12.0,106.92,1280.0
2023-01-27,69.62,69.62,67.55,68.76,662,EQ,15.0,44.13,606.0
2023-01-30,68.0,68.35,67.76,68.35,148,EQ,5.0,29.6,122.0
2023-01-31,68.2,68.2,67.2,67.99,1153,EQ,25.0,46.12,949.0
2023-02-01,66.65,69.5,66.65,69.27,3380,EQ,49.0,68.98,2457.0
2023-02-02,69.71,71.01,69.71,70.88,6065,EQ,53.0,114.43,4651.0
2023-02-03,70.4,70.4,68.6,69.58,1618,EQ,35.0,46.23,925.0
2023-02-06,67.8,68.2,67.2,67.21,16602,EQ,42.0,395.29,6211.0
2023-02-07,67.21,67.59,66.5,66.87,773,EQ,23.0,33.61,333.0
2023-02-08,66.81,67.95,66.81,67.88,780,EQ,25.0,31.2,414.0
2023-02-10,67.2,67.75,66.09,66.22,5179,EQ,48.0,107.9,1184.0
2023-02-13,66.01,66.69,65.8,66.2,4598,EQ,47.0,97.83,4425.0
2023-02-14,66.2,66.59,66.01,66.59,2312,EQ,12.0,192.67,2222.0
2023-02-15,66.4,66.4,65.25,65.43,2743,EQ,59.0,46.49,2735.0
2023-02-16,65.61,66.48,65.0,65.11,808,EQ,44.0,18.36,328.0
2023-02-17,65.2,66.0,64.6,64.6,1196,EQ,53.0,22.57,1079.0
2023-02-20,64.8,70.0,64.8,66.11,697,EQ,25.0,27.88,572.0
2023-02-21,66.98,66.98,65.3,65.5,846,EQ,19.0,44.53,782.0
2023-02-22,65.6,66.38,65.42,65.55,703,EQ,25.0,28.12,402.0
2023-02-24,65.8,65.98,64.41,64.97,2084,EQ,51.0,40.86,1890.0
2023-02-27,64.98,64.98,63.21,63.59,2736,EQ,40.0,68.4,2718.0
2023-02-28,64.58,64.58,62.6,63.39,1828,EQ,39.0,46.87,1128.0
2023-03-01,64.66,64.66,64.25,64.26,776,EQ,21.0,36.95,651.0
