Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,130.11,130.11,130.11,130.11,83,EQ,3.0,27.67,83.0
2026-08-18,123.61,136.0,123.61,130.0,10,EQ,3.0,3.33,10.0
2026-08-19,136.5,136.5,123.66,123.92,51,EQ,4.0,12.75,50.0
2026-08-20,130.1,130.1,117.76,121.77,613,EQ,16.0,38.31,566.0
2026-08-21,122.5,123.05,116.1,120.4,234,EQ,8.0,29.25,218.0
2026-08-24,126.0,126.0,125.95,125.95,54,EQ,3.0,18.0,54.0
2026-08-25,132.0,132.0,132.0,132.0,1,EQ,1.0,1.0,1.0
2026-08-26,132.0,132.0,125.4,125.4,3,EQ,3.0,1.0,2.0
2026-08-27,125.4,130.4,125.4,130.4,3,EQ,3.0,1.0,3.0
2026-08-28,136.0,136.0,136.0,136.0,3,EQ,3.0,1.0,3.0
2026-08-31,136.68,136.68,136.68,136.68,3,EQ,1.0,3.0,3.0
2026-09-03,139.5,139.5,139.5,139.5,1,EQ,1.0,1.0,1.0
2026-09-04,143.98,143.98,142.99,142.99,12,EQ,3.0,4.0,12.0
2026-09-07,149.98,149.98,136.0,141.7,569,EQ,22.0,25.86,569.0
2026-09-08,140.5,140.5,134.62,134.62,5,EQ,2.0,2.5,5.0
2026-09-09,140.9,140.9,127.9,132.23,6,EQ,3.0,2.0,4.0
2026-09-10,138.0,138.8,127.0,132.5,414,EQ,12.0,34.5,414.0
2026-09-11,139.0,139.0,137.0,137.0,10,EQ,5.0,2.0,8.0
2026-09-15,143.0,143.0,130.15,132.27,169,EQ,10.0,16.9,169.0
2026-09-16,126.01,126.01,126.01,126.01,2,EQ,1,2.0,2
2026-09-17,120.5,132.0,120.5,126.25,6,EQ,5,1.2,6
2026-09-18,132.0,132.0,120.6,124.2,5,EQ,4,1.25,5
