Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-06-18,46.6,48.65,46.01,46.44,34936,EQ,277.0,126.12,30334.0
2026-06-19,46.95,47.0,46.0,46.67,18873,EQ,279.0,67.65,15234.0
2026-06-22,46.9,46.94,46.13,46.71,16690,EQ,273.0,61.14,11740.0
2026-06-23,46.99,47.14,46.0,46.54,23745,EQ,192.0,123.67,14461.0
2026-06-24,46.49,46.67,46.01,46.45,7118,EQ,138.0,51.58,6680.0
2026-06-25,46.04,46.9,46.04,46.34,9256,EQ,126.0,73.46,5275.0
2026-06-29,46.8,46.8,45.0,46.11,19609,EQ,180.0,108.94,15187.0
2026-06-30,46.04,46.62,45.5,45.98,20506,EQ,179.0,114.56,11794.0
2026-07-01,46.47,46.93,46.12,46.3,68016,EQ,171.0,397.75,35754.0
2026-07-02,46.3,47.0,46.21,46.74,12643,EQ,108.0,117.06,6482.0
2026-07-03,46.92,47.38,46.86,47.16,12704,EQ,122.0,104.13,10404.0
2026-07-06,47.6,48.57,46.75,47.58,22206,EQ,266.0,83.48,14935.0
2026-07-07,48.76,49.0,46.94,47.3,13470,EQ,142.0,94.86,9156.0
2026-07-08,47.58,47.58,45.91,46.08,45043,EQ,177.0,254.48,15850.0
2026-07-09,46.58,47.05,46.08,46.78,10560,EQ,113.0,93.45,7528.0
2026-07-10,47.38,47.55,46.96,47.5,8291,EQ,91.0,91.11,7524.0
2026-07-13,47.65,48.47,46.58,47.74,30946,EQ,160.0,193.41,15547.0
2026-07-14,47.03,48.18,47.0,47.21,6787,EQ,120.0,56.56,5724.0
2026-07-15,47.5,47.79,47.38,47.63,97129,EQ,115.0,844.6,93989.0
2026-07-16,47.71,47.72,47.07,47.18,18745,EQ,113.0,165.88,9565.0
2026-07-17,47.18,47.2,46.61,47.01,6490,EQ,120.0,54.08,4162.0
2026-07-20,46.31,47.68,46.31,47.61,20782,EQ,91.0,228.37,20652.0
2026-07-21,47.61,47.99,47.42,47.66,4038,EQ,86.0,46.95,3611.0
2026-07-22,48.1,48.1,47.2,47.54,6366,EQ,90.0,70.73,5182.0
2026-07-23,47.46,47.46,46.61,46.81,2268,EQ,95.0,23.87,1976.0
2026-07-24,46.75,46.8,46.15,46.61,5900,EQ,75.0,78.67,3327.0
2026-07-27,47.21,47.21,46.65,47.03,5442,EQ,100.0,54.42,3384.0
2026-07-28,47.4,47.4,46.48,46.8,4283,EQ,75.0,57.11,4248.0
2026-07-29,46.8,47.5,46.67,47.16,4134,EQ,75.0,55.12,2576.0
2026-07-30,47.62,47.63,46.72,46.99,10031,EQ,67.0,149.72,8659.0
2026-07-31,47.58,47.6,46.9,46.92,3773,EQ,69.0,54.68,2731.0
2026-08-03,47.36,47.7,46.71,47.56,7049,EQ,117.0,60.25,6328.0
2026-08-04,47.0,47.89,47.0,47.73,5217,EQ,78.0,66.88,4112.0
2026-08-05,47.83,48.5,47.83,48.38,12269,EQ,87.0,141.02,10282.0
2026-08-06,48.69,48.69,48.3,48.3,2677,EQ,56.0,47.8,2622.0
2026-08-07,48.79,49.8,47.59,49.04,8881,EQ,121.0,73.4,5839.0
2026-08-10,48.99,48.99,48.11,48.55,6848,EQ,153.0,44.76,5973.0
2026-08-11,48.5,48.82,48.35,48.67,3340,EQ,81.0,41.23,2802.0
2026-08-12,48.99,48.99,48.39,48.89,8647,EQ,87.0,99.39,8012.0
2026-08-13,48.17,49.3,48.07,48.89,4173,EQ,83.0,50.28,2844.0
2026-08-14,48.37,49.29,48.33,48.7,4715,EQ,68.0,69.34,4516.0
2026-08-17,48.71,48.8,48.26,48.64,16522,EQ,100.0,165.22,15963.0
2026-08-18,47.94,49.14,47.89,48.86,7056,EQ,84.0,84.0,4140.0
2026-08-19,49.35,49.35,48.5,48.76,1457,EQ,69.0,21.12,1285.0
2026-08-20,49.0,49.13,48.51,48.54,9490,EQ,77.0,123.25,8899.0
2026-08-21,48.1,49.35,48.05,49.08,14890,EQ,84.0,177.26,10048.0
2026-08-24,49.32,49.58,48.52,49.12,17565,EQ,136.0,129.15,16562.0
2026-08-25,49.26,49.48,48.54,49.0,9862,EQ,110.0,89.65,8589.0
2026-08-26,49.48,49.48,48.22,48.92,6928,EQ,108.0,64.15,3912.0
2026-08-27,49.47,50.84,48.92,50.52,9158,EQ,94.0,97.43,7245.0
2026-08-28,50.17,50.17,49.04,49.43,30398,EQ,201.0,151.23,29907.0
2026-08-31,50.44,50.44,48.8,48.98,19649,EQ,147.0,133.67,11117.0
2026-09-01,49.96,49.96,48.76,49.1,3685,EQ,103.0,35.78,3021.0
2026-09-02,49.54,49.54,48.44,48.58,10965,EQ,182.0,60.25,9625.0
2026-09-03,49.14,49.34,48.86,48.96,14417,EQ,76.0,189.7,13145.0
2026-09-04,39.41,49.79,39.41,49.06,6170,EQ,93.0,66.34,3918.0
2026-09-07,49.55,49.67,49.13,49.22,8780,EQ,130.0,67.54,5799.0
2026-09-08,49.22,49.64,49.13,49.55,2937,EQ,68.0,43.19,1901.0
2026-09-09,49.95,49.95,49.3,49.43,4260,EQ,101.0,42.18,3128.0
2026-09-10,49.6,49.93,48.74,49.16,6211,EQ,97.0,64.03,5222.0
2026-09-11,49.05,49.56,48.57,49.55,21602,EQ,86.0,251.19,18226.0
2026-09-15,49.95,50.08,47.67,47.85,12495,EQ,266.0,46.97,11431.0
2026-09-16,47.85,48.18,46.85,47.62,7786,EQ,85,91.6,6429
2026-09-17,47.89,48.89,47.89,48.11,7927,EQ,64,123.86,4492
2026-09-18,47.1,49.21,47.1,48.51,17667,EQ,104,169.88,13466
