Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,147.0,154.0,147.0,150.68,30450,EQ,722.0,42.17,19215.0
2026-08-18,152.3,152.3,148.01,148.87,21431,EQ,792.0,27.06,15709.0
2026-08-19,151.8,151.8,145.86,147.13,30338,EQ,716.0,42.37,21804.0
2026-08-20,147.13,153.8,147.0,150.22,39568,EQ,928.0,42.64,21099.0
2026-08-21,150.23,150.23,145.1,147.71,40372,EQ,1306.0,30.91,24436.0
2026-08-24,147.71,148.0,146.0,146.86,29836,EQ,951.0,31.37,17873.0
2026-08-25,147.0,147.7,140.1,141.94,56641,EQ,1635.0,34.64,42236.0
2026-08-26,143.88,144.95,142.01,143.61,19040,EQ,652.0,29.2,11210.0
2026-08-27,143.62,157.0,143.62,152.01,204147,EQ,3738.0,54.61,95766.0
2026-08-28,155.39,156.6,150.0,150.77,44406,EQ,1295.0,34.29,29158.0
2026-08-31,152.0,152.0,146.01,147.19,39129,EQ,1155.0,33.88,24820.0
2026-09-01,147.0,152.95,143.12,149.76,57795,EQ,1499.0,38.56,26670.0
2026-09-02,151.0,151.0,145.0,148.68,25327,EQ,1068.0,23.71,13233.0
2026-09-03,148.68,152.5,147.0,148.61,30031,EQ,918.0,32.71,16987.0
2026-09-04,150.5,150.5,148.0,149.38,17175,EQ,797.0,21.55,9691.0
2026-09-07,148.61,151.7,146.3,147.64,47712,EQ,1745.0,27.34,29361.0
2026-09-08,147.64,149.5,145.21,146.6,25492,EQ,981.0,25.99,16084.0
2026-09-09,147.33,148.45,145.0,145.65,22324,EQ,1009.0,22.12,14660.0
2026-09-15,138.37,138.37,138.37,138.37,17259,BE,697.0,24.76,17259.0
