Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,20.5,21.48,19.4,20.69,1756,EQ,34.0,51.65,1745.0
2026-08-19,20.61,20.61,19.55,20.2,1468,EQ,39.0,37.64,1067.0
2026-08-20,20.99,21.14,19.42,19.9,3501,EQ,40.0,87.52,2525.0
2026-08-21,19.99,20.8,19.4,20.48,2163,EQ,26.0,83.19,2161.0
2026-08-24,19.96,20.68,19.63,19.79,1891,EQ,28.0,67.54,1888.0
2026-08-25,20.02,22.55,20.02,20.06,2953,EQ,32.0,92.28,2273.0
2026-08-26,20.99,20.99,20.09,20.88,6695,EQ,30.0,223.17,6579.0
2026-08-27,20.9,21.65,20.22,20.65,3570,EQ,20.0,178.5,3015.0
2026-08-28,20.24,21.4,20.24,20.99,5608,EQ,24.0,233.67,5425.0
2026-08-31,21.09,21.2,20.26,21.13,3520,EQ,30.0,117.33,3443.0
2026-09-01,21.39,25.35,21.13,25.35,66491,EQ,348.0,191.07,49707.0
2026-09-02,27.1,30.42,27.0,30.42,221530,EQ,1684.0,131.55,104785.0
2026-09-03,32.0,33.46,32.0,33.46,29069,EQ,153.0,189.99,26409.0
2026-09-04,36.8,36.8,31.11,33.38,388915,EQ,3208.0,121.23,160353.0
2026-09-07,35.43,35.78,32.5,33.82,113310,EQ,704.0,160.95,51914.0
2026-09-08,33.42,34.98,32.13,32.36,25393,BE,138.0,184.01,25393.0
2026-09-09,33.97,33.97,30.75,32.26,10151,BE,91.0,111.55,10151.0
2026-09-10,31.01,32.14,30.65,31.43,11076,BE,83.0,133.45,11076.0
2026-09-11,31.39,31.6,29.86,30.75,15491,BE,61.0,253.95,15491.0
2026-09-15,29.5,29.5,29.22,29.22,3687,BE,45.0,81.93,3687.0
2026-09-16,29.0,30.4,27.76,27.76,7914,BE,65,121.75,7914
2026-09-17,27.76,29.14,26.66,27.83,16348,BE,94,173.91,16348
2026-09-18,27.8,28.9,26.8,27.98,5520,BE,48,115.0,5520
