Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-02,68.0,71.4,66.0,71.4,6126419,BE,8940,685.28,6126419
2026-03-04,70.6,73.36,67.83,67.83,451548,BE,3403,132.69,451548
2026-03-05,66.35,67.83,64.44,64.44,195512,BE,1769,110.52,195512
2026-03-06,61.22,61.22,61.22,61.22,110945,BE,1026,108.13,110945
2026-03-09,58.16,58.16,58.16,58.16,31687,BE,634,49.98,31687
2026-03-10,55.3,58.0,55.26,56.4,623783,BE,3391,183.95,623783
2026-03-11,54.1,55.7,53.58,53.58,185614,BE,1601,115.94,185614
2026-03-12,50.91,50.91,50.91,50.91,62581,BE,741,84.45,62581
2026-03-13,49.0,50.9,48.37,48.37,209228,BE,1484,140.99,209228
2026-03-16,46.0,50.78,45.96,50.59,355577,BE,2813,126.4,355577
2026-03-17,51.0,52.49,48.0,48.34,364511,EQ,3604,101.14,191413
2026-03-18,48.59,48.78,46.58,47.13,266923,EQ,2006,133.06,143796
2026-03-19,47.0,50.84,46.0,48.27,473604,EQ,4321,109.61,130515
2026-03-20,50.4,51.27,47.88,48.42,403245,EQ,2535,159.07,204416
