Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-18,22.78,22.78,17.35,19.1,6166,EQ,103.0,59.86,5034.0
2026-08-19,18.91,20.0,18.5,19.09,229,EQ,6.0,38.17,211.0
2026-08-20,19.88,19.88,18.0,18.23,453,EQ,8.0,56.62,332.0
2026-08-21,14.59,20.98,14.59,18.87,3510,EQ,52.0,67.5,2036.0
2026-08-24,20.96,20.96,18.07,19.61,1201,EQ,48.0,25.02,857.0
2026-08-25,22.0,22.41,17.31,19.97,1991,EQ,44.0,45.25,1100.0
2026-08-26,20.02,20.87,19.0,19.46,1393,EQ,17.0,81.94,1282.0
2026-08-28,19.5,20.8,17.54,18.99,269,EQ,12.0,22.42,217.0
2026-08-31,19.17,20.9,17.5,19.82,2118,EQ,31.0,68.32,1634.0
2026-09-01,19.82,20.28,18.53,18.91,1665,EQ,46.0,36.2,1161.0
2026-09-02,19.0,19.84,18.45,19.57,1251,EQ,23.0,54.39,1145.0
2026-09-03,20.75,20.75,19.0,19.49,2313,EQ,40.0,57.82,1480.0
2026-09-04,19.5,20.2,19.0,19.55,168,EQ,13.0,12.92,167.0
2026-09-07,19.55,22.78,18.12,19.07,5513,EQ,104.0,53.01,2694.0
2026-09-08,18.76,19.75,18.06,18.11,3074,EQ,45.0,68.31,2745.0
2026-09-09,18.2,19.5,18.2,18.64,1642,EQ,47.0,34.94,1468.0
2026-09-10,18.64,18.9,17.4,17.67,2419,EQ,48.0,50.4,1751.0
2026-09-11,19.19,21.2,18.7,21.2,12925,EQ,40.0,323.12,10664.0
2026-09-15,25.44,25.44,24.2,25.44,40095,EQ,165.0,243.0,30266.0
2026-09-16,26.99,27.9,22.9,26.52,135722,EQ,1174,115.61,58813
2026-09-17,27.18,27.8,25.0,25.15,22466,EQ,306,73.42,12297
2026-09-18,26.0,26.9,23.12,23.47,28554,EQ,366,78.02,11083
