Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-06,70.0,70.0,66.5,66.5,833600,ST,211,3950.71,833600
2026-03-09,63.2,63.2,63.2,63.2,25600,ST,5,5120.0,25600
2026-03-10,60.1,60.1,60.05,60.05,272000,ST,27,10074.07,272000
2026-03-11,57.05,57.05,57.05,57.05,4800,ST,3,1600.0,4800
2026-03-12,54.2,59.9,54.2,59.9,1008000,ST,127,7937.01,1001600
2026-03-13,58.75,62.85,58.5,62.7,57600,ST,32,1800.0,57600
2026-03-16,61.95,65.4,61.95,65.4,504000,ST,54,9333.33,504000
2026-03-17,65.4,68.0,62.15,68.0,217600,ST,29,7503.45,216000
2026-03-18,68.0,68.95,66.0,66.05,33600,ST,20,1680.0,33600
2026-03-19,67.45,67.5,65.55,67.0,51200,ST,12,4266.67,51200
2026-03-20,66.05,66.5,64.5,65.5,81600,SM,15,5440.0,80000
