Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-09-02,111.0,116.0,107.0,110.45,2726400,ST,1365,1997.36,2713200
2026-09-03,108.25,112.0,104.95,110.65,655200,ST,316,2073.42,622800
2026-09-04,108.1,111.8,105.15,106.5,276000,ST,146,1890.41,255600
2026-09-07,102.2,111.8,101.2,111.4,543600,ST,313,1736.74,514800
2026-09-08,112.0,112.0,108.0,109.75,72000,ST,58,1241.38,62400
2026-09-09,109.45,115.2,106.0,114.75,337200,ST,201,1677.61,302400
2026-09-10,120.45,120.45,120.45,120.45,409200,ST,116,3527.59,408000
2026-09-11,126.45,126.45,126.45,126.45,129600,ST,55,2356.36,126000
2026-09-15,132.75,132.75,120.15,125.85,534000,ST,,,
2026-09-16,121.0,123.55,119.6,119.6,194400,ST,100,1944.0,193200
2026-09-17,113.9,127.05,106.1,119.5,351600,SM,258,1362.79,210000
2026-09-18,120.0,122.75,114.0,114.5,79200,SM,65,1218.46,56400
